;meta[language=es]
; id      |key(hex)|key(str)| text
   1055110|231374e3||Hombre de Skellige
   1059760|00000000||La lista completa de los impresionantes atributos mentales, espirituales y físicos de Margarita Laux-Antille ocuparía una montaña de pergaminos. Rita, como la llamaban sus amigos, llegó a ser la rectora de la academia de hechiceras de Aretuza, la misma escuela que dirigía su famosa madre, Ilona Laux-Antille. Sorprendentemente para alguien de su profesión, a Margarita no le interesaba la política: se unió a la Logia de Hechiceras solamente por el bien de su escuela. Para acabar, también debo hablar de su belleza. Se dice que ni siquiera las efigies marmóreas de diosas y ninfas creadas por los mejores escultores podían hacer sombra a la figura de la hechicera.<br>
   1059773|00000000||Pero a pesar de su astucia, Laux-Antille terminó corriendo la misma suerte que muchos de sus amigos. La arrestaron poco antes de que comenzase nuestro relato y esperaba un juicio sumario y decidido de antemano en la prisión de Oxenfurt.<br>
   1059774|00000000||Solo la valiente fuga de Geralt y Yennefer pudo salvar a Margarita de una ejecución segura.<br>
   1059725|00000000||Margarita Laux-Antille
   1043987|00000000||¡Solo es un arañazo!
   1043989|00000000||Capullo canoso...
   1044026|00000000||Pero cálmate.
   1044028|00000000||Ni lo intentes, canoso.
   1043991|00000000||Bueno, *escupitajo* toca una lección sobre ley y orden.
    501932|f35733fb||Morkvarg
   1051217|5755c467||Hombre de Bastardo
   1078471|00000000||¡Villard, cabronazo!<br><br>Sé de dónde puedes sacar el dinero para pagar tus deudas: de Velen. Hay idiotas que dicen que esos pantanos valen menos que un pedo de vaca vieja, pero no les hagas caso. ¡No tienen ni puta idea! Allí hay negocio, y siendo un enano, mucho más, estoy seguro.<br><br>En fin, te cuento. Mientras pasaba por Velen hace una semana o así, vi a unos cuantos señoritos bien vestidos en el bosque, con sus bolsas de viaje intactas. Creo que eran refugiados que escapaban de la guerra. Y el que los atraque primero será el que se quede con todo lo que tengan. ¿Captas lo que digo, amigo? Coge un cofre, cruza el Pontar en cuanto puedas y quítales a esos señoritos todos los anillos, collares y demás antes de que se te adelante algún listo. Eso sí, lleva en el cinturón un hacha bien afilada, porque Velen está a rebosar de monstruos. Recuerda que es por una buena causa: ¡llenarte los bolsillos!<br><br>Tu buen amigo Gruggen
   1078472|00000000||Los hombres están dispuestos a hacer muchas cosas por dinero: mentir, engañar e incluso saquear cadáveres. Villard y Gruggen no eran ninguna excepción. Como muchos otros antes, probablemente fueron hechos pedazos por algún necrófago que merodeaba por el campo de batalla. Supongo que son gajes del oficio. Por suerte, Geralt tiene un buen seguro contra riesgos laborales: la espada que lleva a su espalda.
   1086993|00000000||Geralt nunca se declaró experto en epistolografía, pero la experiencia le había enseñado uno de sus principios básicos: los muertos suelen llevar correspondencia interesante encima. Por ese motivo, decidió sentarse a estudiar cierta misiva que encontró oculta en un cadáver durante uno de sus viajes.
   1078473|00000000||Encuentra los objetos de valor de los saqueadores con tus sentidos de brujo.
   1086994|00000000||Lee la carta que encontraste.
   1078470|00000000||Las cosas que los hombres hacen por dinero...
    466292|c02c3cd2||Guardia
    350496|43078142||Guerrero
    302053|67827706||Guardia del Templo
   1008713|00000000||¡Buenos días!
   1008707|00000000||Saludos.
   1008705|00000000||Qué raro...
   1008703|00000000||Tú espera.
   1062219|00000000||Geralt no conoció a Anna Strenger, esposa del Barón Sanguinario, durante su visita a Percha del Cuervo. Poco antes de su llegada, la mujer había desaparecido de forma inexplicable con su hija Tamara. Pero Geralt obtuvo una descripción precisa de la mujer desaparecida: Anna era una atractiva mujer de unos cuarenta años, ojos verdes y cabellos oscuros como alas de cuervo, que llevaba recogidos en un moño.<br>
   1062220|00000000||Geralt descubrió que la vida marital de Anna no estaba siendo demasiado satisfactoria. Se había quedado encinta recientemente, pero perdió al bebé por razones desconocidas justo antes de desaparecer.<br>
   1062221|00000000||Cuando Geralt interrogó al barón sobre aquel asunto, salió a la luz la triste verdad. Movida por la desesperanza y la humillación, Anna había escapado con Tamara después de que su marido, borracho, le diese una salvaje paliza. El barón estaba convencido de que Anna había abortado a consecuencia de sus golpes, pero Geralt no estaba tan seguro: no podía dejar de pensar en el extraño talismán que el conjurador le había entregado a Anna para protegerla de los poderes malvados.<br>
   1062222|00000000||Durante su charla a corazón abierto, el barón ofreció a Geralt un retrato algo más claro de la vida conyugal de los Strenger. Mientras su marido estaba fuera dirigiendo campañas militares, Anna se refugiaba en los brazos de un amigo de la infancia. Descubrir la verdad desató en el barón una furia indescriptible y mató al amante de Anna, algo que, como era de esperar, provocó un distanciamiento aún mayor en el matrimonio.<br>
   1062235|00000000||Mientras buscaba a Anna, Geralt descubrió, para su sorpresa, que ella y la anciana de cabellos canosos de la ciénaga eran la misma persona. Las marcas de sus manos parecían los símbolos del pacto misterioso que Anna había hecho con las moiras.<br>
   1062236|00000000||La situación se complicó aún más cuando Geralt supo que, tras su huida de Percha del Cuervo, una gigantesca bestia había raptado a Anna para llevársela a lo más profundo de la ciénaga. Por si tanto horror no fuera suficiente, algunos testigos afirmaron que en sus manos habían aparecido unas extrañas quemaduras en forma de símbolos brillantes. ¿Quizás el talismán del conjurador tenía que protegerla justo de aquello?<br>
   1062245|00000000||Tamara no hizo más que confirmar a Geralt la triste situación de su madre. Las mujeres habían decido escapar juntas porque no aguantaban más las borracheras y palizas del barón. Anna odiaba tanto a su marido que estaba dispuesta a lo que fuese para librarse de él y del niño que llevaba en sus entrañas.<br>
   1062246|00000000||Tras reunir todos los datos, Geralt llegó a la conclusión de que la anciana de la ciénaga era en realidad Anna, la esposa desaparecida del barón. También descubrió que las marcas de sus manos eran los símbolos del pacto que Anna había hecho con las moiras para librarse del niño que no deseaba.<br>
   1062249|00000000||Al final dieron con Anna, pero los hechos que vio y en los que participó habían hecho tal mella en su cuerpo y su mente que jamás volvería a ser la misma. Su mente se vino abajo con aquella carga tan pesada, arrojándola a un abismo de horror y desesperación.<br>
   1062250|00000000||Aunque al final Anna apareció, ya no era la misma: una terrible maldición la había transformado en un monstruo. El brujo creía saber quiénes habían provocado aquello.<br>
   1062251|00000000||Las sospechas de Geralt se confirmaron poco después: efectivamente, la maldición que sufría aquella desgraciada mujer era obra de las moiras. Anna había recurrido a las siniestras hermanas porque no quería dar a luz al hijo del barón. Las moiras le concedieron su deseo de una forma perversa: con una maldición que provocó que el feto se marchitase en su interior, consumiendo la energía vital de Anna. Desesperada, recurrió al conjurador, que le entregó un talismán con el que combatir la magia malvada. Pero Anna perdió el talismán durante su pelea con el barón, quedando indefensa ante la magia de las moiras. Y lo peor estaba aún por venir: las marcas de sus manos comenzaron a arder, y una demonibestia la arrastró hasta el corazón del Cenagal del Jorobado, donde tuvo que pagar su deuda como esclava de las moiras.<br>
   1062252|00000000||Geralt acabó con la maldición que sufría Anna y la devolvió a su estado original. Pero las moiras tenían preparada su venganza final: su vil brebaje provocó que Anna muriera una vez recuperada la libertad. Los seres queridos de Anna solo dispusieron de unos instantes para despedirse antes de que esta falleciese.<br>
   1062355|00000000||Geralt acabó con la maldición que sufría Anna y la devolvió a su estado original. Pero las moiras tenían preparada su venganza final: su vil brebaje provocó que Anna muriera una vez recuperada la libertad. Tamara y el barón solo dispusieron de unos instantes para despedirse antes de que esta falleciese.<br>
   1062356|00000000||A pesar de los esfuerzos del brujo, este no logró disipar la maldición de Anna. Los allí presentes contemplaron horrorizados cómo Anna Strenger fallecía de forma horrible, incinerada por el último acto vengativo de las moiras.
   1062218|00000000||Anna Strenger
   1076563|00000000||Personaje: mutágenos
   1076564|00000000||Para activar los mutágenos hay que colocarlos en los espacios con forma de diamante. Al lado de cada espacio hay un grupo de espacios de habilidad cuadrados.<br><br>Una vez activados, los mutágenos otorgan bonificaciones a las estadísticas del personaje. Cada tipo (color) de mutágeno proporciona bonificaciones distintas.<br><br>Cada habilidad colocada en un espacio junto a un mutágeno del mismo color aumenta un 100% la bonificación de dicho mutágeno. Por tanto, si las tres habilidades de un grupo de espacios tienen el mismo color que el mutágeno que está al lado, la bonificación de este aumentará un 300%.<br><br>Las habilidades cuyo color no coincida con su mutágeno cercano no afectan a la bonificación del mutágeno. No hacen que mejore ni que decrezca.
   1043074|00000000||*Tos* ¿Fuiste tú quien mató al hym? *Tos* ¿El que Cerys localizó en casa de Udalryk?
   1043086|00000000||Te luciste al averiguar quién era el culpable de la masacre. ¡Qué vergüenza lo de lady Bran!
    537454|00000000||Eh.
    395595|00000000||{Tos, tos, tos, tos, tos}
    395587|00000000||{Tos, tos, tos}
    395591|00000000||¿Quién es ese?
    395593|00000000||¿Eh?
    395589|00000000||¿Qué?
    395597|00000000||¡Por los dioses!
    395601|00000000||¡Dioses!
    395599|00000000||¡Diosa, sálvame!
    537450|00000000||*Tos, tos* Creo que me he resfriado.
    540233|00000000||En lugar de vigilar al rebaño andaba tallando. Estaba acabando una flauta cuando llegaron los lobos.
    540235|00000000||¡Por el santo seno de Freya!
    540517|00000000||Yo lo veo así: acompañamos a Holger en unas incursiones y con el botín construimos una taberna. ¿Te apuntas?
    540518|00000000||¿Y ahora, qué?
    537452|00000000||¡Los dioses bendicen a los más valientes!
    537456|00000000||¡Ay!
    537458|00000000||*Tos, tos, tos* Freya, permite que muera en combate.
    472643|062190b2||Lessy
    538259|00000000||Quizá para ti lo único importante sea Lara.
    538261|00000000||¿Esperas controlar a Lara de nuevo? ¿Después de todos estos años?
    538262|00000000||Lara está muerta. Mi única esperanza es que Ciri cumpla con su cometido y sobreviva.
    538348|00000000||Te creo.
    538351|00000000||Te creo.
    538353|00000000||Lo sé. Si no, jamás dejarías que me acercara a menos de cien metros de Ciri.
    538355|00000000||Me encontré con alguien en tu laboratorio.
    538372|00000000||No me digas.
    538374|00000000||Ajá. Una elfa. Decía odiar a Ciri. ¿Cómo encaja eso con tu deseo de protegerla cueste lo que cueste?
    538376|00000000||No tiene nada que ver.
    566019|00000000||No esperarás que te confiese mis sentimientos íntimos, ¿no?
    538260|00000000||Me encontré con alguien en tu laboratorio.
   1073980|00000000||Pasamos por tu laboratorio.
    530545|00000000||Fuimos a tu laboratorio.
    530546|00000000||Confío en que no lo destruyerais.
    538001|00000000||No mencionaste que fuiste la principal fuente de información sobre Ciri para los elfos Aen Elle.
    538002|00000000||No mencioné muchas cosas. Por suerte, ya no importan.
    538119|00000000||Tus experimentos con los genes, la vieja sangre... ¿no importan?
    538122|00000000||Llevé a cabo esos estudios para proteger a Ciri. Para proteger la sangre de Lara Dorren, corra por las venas que corra.
   1075192|00000000||Diálogos: finalizar una conversación
   1075193|00000000||Las opciones de diálogo marcadas con <<ICO_DialogEnd>> pondrán fin a la conversación.
   1077642|00000000||Combate
   1077643|00000000||Espera a que Vesemir te ataque.
   1077606|00000000||<i>La gente dice que las brujas del agua son las mujeres de los sumergidos. Si eso fuera cierto, explicaría por qué son una putas tan irascibles.</i><br>– Shemhel de Dregsdon<br><br>Algunas historias nos hablan de brujas del agua y chochas del pantano que se hacen pasar por ancianas perdidas para atraer a los viajeros hasta las chozas desvencijadas que se construyen en los humedales. De ser verdad, solo un ciego o un hombre cegado por la bebida podrían tomar el fango rancio y la carroña putrefacta del cubil de una de ellas por una casita acogedora, y a la espantosa bruja por una abuelita inocente. Su cuerpo arrugado y verrugoso casi llega a los dos metros de alto, es de color rosáceo y apesta a lodo y a pescado. Completan el singular retrato unas protuberancias óseas de dos palmos de largo que salen de su espalda, un cabello como una maraña de algas y unas garras que ya quisiera para sí un hombre lobo.<br>
   1077607|00000000||<br>Al igual que los sumergidos, con los que suelen compartir los terrenos de caza, las brujas del agua y las chochas del pantano habitan cerca de aguas poco profundas, ríos y humedales. Aunque corpulentas, son unas nadadoras excelentes. Pueden nadar hasta por el barro más espeso con una agilidad sorprendente y emerger al lado de sus víctimas para atacarlas con unas garras falciformes. También son capaces de hacer bolas de barro que lanzan para cegar temporalmente a los oponentes.<br><br>Las brujas del agua están particularmente activas durante las tormentas, en las que son más peligrosas si cabe. Por si fuera poco, las tormentas entorpecen el uso de la Señal de Igni, que suele ser el arma más eficaz con estas criaturas tan amantes de la humedad.
   1077484|00000000||Brujas del agua
    432590|d184d9f7||Aparición
   1073365|00000000||Escalar
   1073366|00000000||Cuando te topes con un obstáculo, inclina <<PAD_LSUp>> y pulsa <<Jump>> para escalarlo.
   1000223|060363c3||Yagna
    532416|7fbe6f3e||Ciudadana rica
    580018|d00dc371||Estibador
    470231|0d2919bb||Anciana
   1054248|00000000||En unos pasadizos subterráneos de Novigrado (yo también he estado allí, y no los recomiendo como destino turístico: si el hedor no acaba contigo, los monstruos lo harán), Geralt conoció a un erudito que estaba realizando una excavación en busca de restos de culturas olvidadas. El profesor pidió ayuda a Geralt para levantar la tapa de un viejo sarcófago.
   1054251|00000000||Geralt decidió contribuir al avance de la ciencia y ayudó al erudito a abrir el sarcófago. Pero en su interior no había un esqueleto mustio, sino un vampiro rebosante de energía. Al principio no mostró signos de hostilidad: tan solo pidió un poco de paz durante su reposo. Pero el erudito no tenía intención alguna de respetar sus deseos. Geralt no pudo detenerlo y... el vampiro perdió los nervios y atacó a Geralt y al irritante profesor. A Geralt no le quedó más remedio que acabar con la vida del vampiro.
   1011726|00000000||Vuelve a ver al profesor Vairmont si quieres ayudarlo con el sarcófago.
   1011729|00000000||Mata al vampiro.
   1011723|00000000||Un libro en una tumba
    550645|317d6e70||Mujer
    171010|c51bb659||Pirata
    577978|fcd21ea9||Mediano
   1087241|00000000||Mapa del mundo
   1087242|00000000||Usa <<PAD_LS_LeftRight>> para seleccionar el <font color="#CD7D03">mapa del mundo</font> y pulsa <<GUI_Select>>.
    424566|00000000||Frío.
    424564|00000000||Comer.
   1036991|00000000||¡Blaaah!
   1036993|00000000||Yo comer tu cabecita.
   1036989|00000000||Aplastar.
   1036995|00000000||¡Túuu!
   1055658|22a35b33||Rata
   1037057|00000000||¡Por Hemdall!
   1037055|00000000||¡Heymaey!
   1037059|00000000||¿Sí?
   1037061|00000000||Cálmate.
   1049076|00000000||En la vida, como en el arte, abunda la tragedia. Y, por desgracia, el final de la historia de Keira Metz añadió aún más desgracia y dolor a este relato. Keira se presentó ante el rey Radovid con las notas sobre la plaga que había encontrado en la Torre del Ratón. Contaba con obtener una amnistía real a cambio de ofrecerle al monarca la posibilidad de convertir la plaga en un arma que Radovid podría usar contra sus enemigos. Pero Keira se olvidó de un detalle fundamental: nunca hay que hacer tratos con el diablo, sobre todo con un diablo respaldado por un ejército y con un odio furibundo hacia las hechiceras. Radovid se rio en su cara, arrestó a Keira e hizo que la empalaran en una estaca. La hechicera murió tras una horrible agonía, gritando maldiciones a Radovid y su reino que se escucharon por todo Novigrado. Cuando Geralt regresó a la ciudad, Triss le pidió que recuperase el cadáver de Keira para enterrarla como era debido.<br>
