;meta[language=pl]
; id      |key(hex)|key(str)| text
    301032|5a979acb||Wojownik Dzikiego Gonu
    519868|00000000||„Wojny północne: mity, kłamstwa, półprawdy”. Traktat historyczny Restifa de Montholon.
    519879|00000000||Kilku kartek brakuje.
    572808|00000000||Wiedźmin Jerzy. Trzeba to w końcu zamalować.
    572811|00000000||Konne wiedźmiństwo nigdy się nie przyjęło.
    572812|00000000||W czasie samotnego zimowania przychodzą do głowy dziwne pomysły.
    332443|002e3ae9||Książka
   1012975|00000000||A Rada i Kapituła nie zareagowały?
   1012976|00000000||Żartujesz? To oni poprosili Radowida o „interwencję”. Zaraz po tym, jak nominował ich na stanowiska.
   1012978|00000000||Potem słyszałam, że na gruzach akademii kaznodzieje Wiecznego Ognia nauczali motłoch, że taka kara czeka wszystkich zdrajców i czarowników.
   1012973|00000000||Skoro ty jesteś tu, to co stało się z Aretuzą?
   1012974|00000000||W dzień, kiedy przyjechałam do Novigradu, otrzymałam wiadomość od Biruty Icarti. Pisała krótko: „Redańczycy przejęli szkołę, biblioteki spalone, garstka uczennic zbiegła z Niną Vivero, reszta nie żyje, to koniec”.
   1012963|00000000||Co ze szkołą w Aretuzie?
   1012980|00000000||Bywaj.
   1012964|00000000||Bywaj.
   1012962|00000000||Jak trafiłaś w ręce łowców?
   1012965|00000000||Myślałem, że kto jak kto, ale Margarita Laux-Antille nigdy nie da się złapać łowcom czarownic.
   1012966|00000000||Gdyby chodziło tylko o mnie, to z pewnością nie. Ale pamiętaj, że miałam pod opieką studentki.
   1012967|00000000||To była tylko kwestia czasu, kiedy łowcy dotrą do Aretuzy, więc gdy usłyszałam, że Triss organizuje wyjazdy do Koviru, nie wahałam się długo.
   1012968|00000000||Wzięłam grupę adeptek i przyjechałyśmy do Novigradu. Ale zanim skontaktowałam się z Triss, złapali nas i wtrącili do Deireadh.
   1012969|00000000||Nie widziałem tam więcej czarodziejek...
   1012970|00000000||Bo je spalili. Żywcem. Jedną po drugiej, najzdolniejsze dziewczęta na Północy. Mnie Radowid zostawił sobie na koniec.
   1012958|00000000||Jak się czujesz?
   1012959|00000000||Lepiej, dziękuję. Gdybyś nie zjawił się w porę, mogłoby być znacznie gorzej. Jestem twoją dłużniczką.
   1028937|00000000||Podziękuj Yennefer. To był jej plan.
   1012961|00000000||Geralt. Co mogę dla ciebie zrobić?
   1031674|00000000||Gonił coś... I spadł. Pewnie czuł, że to się może źle skończyć. Ale nie mógł się oprzeć żądzy krwi.
    385297|00000000||Kolczyk Triss?
    444237|00000000||Lepiej, że to ja go znalazłem...
    408102|00000000||Oddam go Triss.
    385301|00000000||Wezmę go.
    408100|00000000||Niech tu zostanie, Triss i tak już pewnie wyrzuciła drugi.
    385303|00000000||Zostawię go.
   1055413|f7a0c879||Nekker Wojownik
   1069326|e0351e50||Skrzynia ze skarbem
    577727|00000000||Znowu piłeś? Bo ruszasz się jak mucha w smole.
    577729|00000000||To ma być silny cios?
    577731|00000000||Starczy, żeby złamać twoją zasłonę.
    577733|00000000||Jutro chyba trenuję z Ciri. Będzie większe wyzwanie.
    575089|00000000||Słyszałeś, że staruszek zasnął w trakcie lekcji?
    575093|00000000||Może idzie jakiś niż...
   1074151|00000000||Hmm.... Ciekawe, czy papugom służy górskie powietrze...
    516508|b0678eeb||Koń
    574625|00000000||Lepiej, żeby tak było.
    574640|00000000||Lepiej, żeby tak było. Vesemir powiedział, że jak jeszcze raz to zrobisz, każe ci zjeść miskę ślimaków. Tych bez skorupek.
    574641|00000000||Fuuuuj!
    576732|00000000||No właśnie. Więc lepiej bądź grzeczna.
    576738|00000000||Pewnie, że przez mury. Jesteś w wiedźmińskiej szkole czy na wczasach?
   1058679|00000000||Pewnie, że przez mury. [SAMOUCZEK EKSPLORACJI]
   1058682|00000000||Nie tym razem. Wierz mi... Lepiej, żeby Vesemir długo nie czekał.
   1058680|00000000||Nie tym razem. [POMIŃ SAMOUCZEK]
    574642|00000000||Chodź. Poćwiczymy z resztą na dole.
    576736|00000000||Idziemy przez mury?
    574633|00000000||Przeprosiny nie wystarczą.
    574635|00000000||Masz przeczytać „Ghule i Alghule” w całości. Łącznie z aneksami.
    574637|00000000||Nie, błagam... Już wolę czyścić stajnie!
    574639|00000000||Koniec dyskusji.
    574619|00000000||Przeprosiny nie wystarczą.
    574605|00000000||Masz nad czym pracować. Refleks wciąż słaby.
    574607|00000000||Może jak na wiedźmina.
    574609|00000000||Myślisz, że utopiec albo strzyga da ci fory, bo nie przeszłaś wiedźmińskich mutacji?
    574610|00000000||No, ale bardziej niż strzygi bałbym się Vesemira. Zlekceważyć jego polecenie... Nierozsądne.
    574614|00000000||Ojej, no... Ta książka była strasznie nudna!
    574616|00000000||Wiem. Ale ty wiesz, że to żadna wymówka.
    574618|00000000||Przepraszam. To się nie powtórzy.
    546852|00000000||Źle.
    546854|00000000||Teraz już wiem, czemu tak się rwałaś do ćwiczeń. Cięcie!
    576696|00000000||Ha!
    576698|00000000||Nie jesteś w cyrku. Piruet!
    546856|00000000||Źle. Postawa!
    576700|00000000||Starczy. Zejdź.
    546858|00000000||Saltem?
    546860|00000000||A jak myślisz?
    576702|00000000||Dobrze. Możesz zdjąć opaskę.
    312802|05e75e62||Harpia
    432580|00000000||Teraz parowanie. Ciri, patrz, pod jakim kątem Geralt trzyma miecz.
    432582|00000000||Uniki!
    577761|00000000||Mocne uderzenia. Nie oszczędzaj się!
    577759|00000000||Szybkie cięcia. Raz, dwa, trzy!
    546723|00000000||Co ty wyrabiasz?
    546725|00000000||Starczy wygłupów.
    546721|00000000||Geralt, nie popisuj się.
    577969|00000000||Riposta. Cios, odpowiedź!
   1057722|00000000||Dobra, starczy. Trening dowolny!
   1058454|00000000||Wyciągnij miecz, Geralt.
   1058458|00000000||Na koniec, młoda panno, pokażemy ci parę wiedźmińskich znaków. Zacznijmy od Quen.
   1058460|00000000||Rzuć Igni, Geralt. Aż polecą iskry.
   1058462|00000000||Aard, Geralt. No, dalej!
   1070598|00000000||Ruszasz się dziś jak mucha w smole... Jeszcze raz.
   1071561|00000000||Dobrze!
   1071477|00000000||Teraz Yrden. Pokaż jej, Geralt.
   1071479|00000000||Kolej na Aksji. Psiakrew, nie cierpię tego...
   1071481|00000000||Rzuć petardą. Bez obaw, Ciri, Quen wytrzyma wybuch.
   1075088|00000000||Uch... Aksji potrafi zamącić w głowie...
   1075066|00000000||Widzisz, Ciri? Choćbym chciał, nie mogę się teraz ruszyć.
   1075064|00000000||Quen nazywa się czasami "wiedźmińską tarczą", Ciri. Zaraz zobaczysz, czemu.
   1075062|00000000||Widzisz? Gdyby nie chronił mnie Quen, zająłbym się ogniem.
   1075060|00000000||Patrz, Ciri. Aard każdego wytrąci z rytmu.
    574124|00000000||Rozpuściliśmy ją trochę.
    574263|00000000||Rozpuściliśmy ją trochę.
    574265|00000000||Jakie rozpuściliśmy? Ja od początku mówiłem, że Ciri trzeba surowej ręki.
    574267|00000000||Mówiłeś, zgadza się. Ale dałeś jej sobie wejść na głowę jak my wszyscy.
   1044455|00000000||No dobrze, nie jestem bez winy. Ale czas z tym skończyć. Natychmiast.
   1048566|00000000||Zabijanie potworów to nie żarty. Ciri musi to zrozumieć, jeśli ma zostać jedną z nas.
    574270|00000000||Widzimy się na dole.
    574257|00000000||Nie wściekaj się na nią.
    574259|00000000||Jak tu się nie wściekać? Nicpoń musi robić wszystko po swojemu.
    574261|00000000||I to w niej lubisz.
    574117|00000000||Nie wściekaj się na nią.
    578211|00000000||Stary wiedźmin mocno śpi... A Ciri gdzieś zniknęła.
    573920|00000000||Zdaje się, że woli praktykę od teorii...
    574106|00000000||Hm? Co?
    573954|00000000||Pobudka, mistrzu.
    573935|00000000||Takie nudne te lekcje, że sam usypiasz?
    573936|00000000||Cholera... Przymknąłem oczy tylko na chwilę, jak robiła notatki z „Ghuli i Alghuli”…
    574098|00000000||Dałeś jej tę cegłę? Nic dziwnego, że zwiała.
    574100|00000000||Jan z Brugge nie miał lekkiego pióra, prawda, ale za to był rzetelny. Nie to co te głupoty, które się teraz drukuje.
    574126|00000000||Pewnie poszła na wahadła, co?
    574102|00000000||A tyle razy jej mówiłem. Nie trenuj sama, bo tylko utrwalasz błędy.
    574104|00000000||Przyprowadź naszą pannicę na dolny dziedziniec. Skoro chce poćwiczyć, proszę bardzo.
    478419|00000000||A ty dzie? Tam kurtura jes, a nie żeby każdy cham se łaził, jak chce.
    478437|00000000||Drzwiami na lewo.
   1064835|00000000||Tu występuje trupa madame Iriny?
    492248|00000000||Taa. Ale wpuszczam tylko za biletami. A teraz to wogle żadnego przedstawienia nie ma, tylko aktory próbę se robią.
   1040331|00000000||To co - dać bilecik?
   1040310|00000000||Podobno nie ma teraz przedstawienia.
   1040312|00000000||Ale bilecik kupić możesz. To co?
    478435|00000000||Tak.
    478436|00000000||Masz. Jeno nie właź nikomu w oczy, bo te aktory na próbach strasznie wstydliwe.
    478430|00000000||Tak.
    478432|00000000||Nie chcę kupować biletu.
    478433|00000000||Jak nie to nie. Za darmo to se wiesz, możesz kurwy przez okno pooglądać, a nie artystki.
    478431|00000000||Nie chcę kupować biletu.
    480265|00000000||Dać bilecik?
   1050491|7ef171cd||Ogar Dzikiego Gonu
    307008|103d66e3||Zając
    578399|00000000||Masz coś do zrobienia, prawda?
    578620|00000000||Później. Ciri czeka.
