;meta[language=ru]
; id      |key(hex)|key(str)| text
    301032|5a979acb||Воин Дикой Охоты
    519868|00000000||"Северные войны: мифы, ложь, полуправда". Исторический трактат Рестифа де Монтолона.
    519879|00000000||Часть страниц выдрана.
    572808|00000000||Ведьмак Георгий. Надо его, в конце концов, закрасить.
    572811|00000000||Ведьмачья конница так и не прижилась.
    572812|00000000||Во время одиночной зимовки в голову приходят очень странные мысли.
    332443|002e3ae9||Книга
   1012975|00000000||А Совет и Капитул не вмешались?
   1012976|00000000||Ты шутишь? Это они попросили Радовида "вмешаться". Сразу же после того, как он назначил их на должности.
   1012978|00000000||Потом я слышала, что на развалинах Академии проповедники Вечного Огня поучали чернь, что такая кара ожидает всех изменников и чародеев.
   1012973|00000000||Если ты здесь, то что же стало с Аретузой?
   1012974|00000000||По приезде в Новиград, я получила сообщение от Бируты Икарти. Коротенькую записочку: "Реданцы заняли школу, библиотеки сожжены. Горстка учениц бежала с Ниной Виверо, остальные мертвы. Это конец".
   1012963|00000000||Что стало со школой в Аретузе?
   1012980|00000000||Прощай.
   1012964|00000000||Прощай.
   1012962|00000000||Как ты попала в руки Охотников?
   1012965|00000000||Я думал, уж кто-кто, но Маргарита Ло-Антиль никогда не попадется Охотникам за колдуньями.
   1012966|00000000||Если бы дело было только во мне! Но у меня под опекой были студентки.
   1012967|00000000||Мы понимали, что Охотники возьмутся за Аретузу раньше или позже. Так что, когда я услышала, что Трисс организует переброску магов в Ковир, то долго не колебалась.
   1012968|00000000||Я взяла группу адепток и мы приехали в Новиград. Но прежде чем я связалась с Трисс, нас схватили и бросили в Дейре.
   1012969|00000000||Я не видел там других чародеек...
   1012970|00000000||Потому что их сожгли. Живьем. Одну за другой, самых способных девочек на Севере. Меня Радовид оставил на десерт.
   1012958|00000000||Как ты себя чувствуешь?
   1012959|00000000||Уже лучше, спасибо. Если бы не ты, все могло бы быть гораздо хуже. Я перед тобой в долгу.
   1028937|00000000||Благодари Йеннифэр. Это был ее план.
   1012961|00000000||Геральт. Что я могу для тебя сделать?
   1031674|00000000||Он гнался за кем-то... и упал. Наверное, он даже чувствовал, что это может плохо кончиться. Но не смог противиться жажде крови.
    385297|00000000||Сережка Трисс?
    444237|00000000||Хорошо, что ее нашел я.
    408102|00000000||Отдам ее Трисс.
    385301|00000000||[Взять.]
    408100|00000000||Здесь оставлю. Трисс давным-давно выкинула вторую.
    385303|00000000||[Оставить.]
   1055413|f7a0c879||Накер-воин
   1069326|e0351e50||Сундук сокровищ
    577727|00000000||Ты снова пил? Ползаешь, как муха в меду.
    577729|00000000||И это сильный удар?
    577731|00000000||Достаточный, чтобы пробить твою защиту.
    577733|00000000||Завтра буду с Цири тренироваться. Будет побольше работы, чем с тобой.
    575089|00000000||Я слышал, что старичок-то заснул во время урока?
    575093|00000000||Может, погода меняется...
   1074151|00000000||Хм-м... Интересно, как попугаям на горном воздухе...
    516508|b0678eeb||Лошадь
    574625|00000000||Хорошо, если так.
    574640|00000000||Очень надеюсь. Весемир сказал, если ты еще раз так сделаешь, он заставит тебя съесть миску слизней. С солью.
    574641|00000000||Ха-ха! Фууу!
    576732|00000000||Вот-вот. Так что веди себя хорошо.
    576738|00000000||Конечно, через стены. Ты в школе ведьмаков или в оранжерее?
   1058679|00000000||Конечно. [НАЧАТЬ ОБУЧЕНИЕ]
   1058682|00000000||Не сейчас. Не стоит заставлять Весемира ждать, поверь мне.
   1058680|00000000||Не сейчас. [ПРОПУСТИТЬ ОБУЧЕНИЕ]
    574642|00000000||Пойдем, позанимаемся внизу - с остальными.
    576736|00000000||Мы побежим через стены?
    574633|00000000||Извинений недостаточно.
    574635|00000000||Ты должна прочитать "Гули и альгули" целиком. С комментариями.
    574637|00000000||Нет, пожалуйста... Я лучше буду чистить конюшни!
