;meta[language=fr]
; id      |key(hex)|key(str)| text
   1062611|00000000||Salutations.
   1062613|00000000||Un sorceleur ! Vous avez vu mon annonce ? Vous venez pour le puits ?
   1062615|00000000||Un puits ? Je n'étais pas au courant… Il y a un problème ?
   1029705|00000000||Alors sorceleur, vous allez le chasser ce fantôme ? Ma petite fille… elle va y passer, si ça continue.
   1029177|00000000||D'accord, je vais vous aider. Où est le puits ?
   1029178|00000000||À Galetas, un petit hameau sur les hauteurs. Il est abandonné depuis un moment, à cause du fantôme. Chassez-le, sorceleur, je vous en prie.
   1029175|00000000||Je vais vous aider.
   1057919|00000000||Décrivez-moi votre fantôme.
   1057921|00000000||Ben… Il fiche une trouille pas possible. Il est horrible.
   1057923|00000000||C’est-à-dire ? À quoi ressemble-t-il ?
   1057925|00000000||Il ressemble… à une donzelle fraîchement sortie de la tombe. Il porte une robe en lambeaux et… et sa peau se décolle de ses os. Et il pousse des hurlements… comme si il souffrait.
   1057927|00000000||Probablement un spectre… ou une alpyre.
   1057929|00000000||Si vous lui réglez pas son compte une bonne fois pour toutes, messire… il viendra s'en prendre à ma petite fille.
   1057898|00000000||Décrivez-moi ce fantôme.
   1057899|00000000||Navré, je ne peux pas vous aider pour l'instant.
   1029179|00000000||Ça m'a l'air sérieux, en effet… mais je n'ai pas le temps. Je reviendrai dès que possible.
   1029176|00000000||Je n'ai pas le temps. Je reviendrai plus tard.
   1057897|00000000||Parlons de ma prime.
   1057931|00000000||Je compatis… mais nous devons rediscuter de ma paye.
   1058419|00000000||La somme offerte vous convient pas ?
   1071280|00000000||J'ai jamais eu une somme avoisinant celle-là de toute ma vie !
   1071282|00000000||Je suis sûr qu'on pourrait s'arranger si vous baissiez un peu votre prix.
   1071286|00000000||Elle est bien bonne, Maître sorceleur. Vous n'avez pas honte de vous moquer d'un pauvre homme ?
   1071284|00000000||Bon, marché conclu.
   1029182|00000000||Ouais, c'est un puits hanté. Depuis une bonne vingtaine d'années.
   1029274|00000000||Et vous avez attendu tout ce temps pour demander de l'aide ?
   1029694|00000000||Euh… C'est-à-dire qu'avant, on puisait notre eau dans la rivière… mais avec tous les cadavres qui flottent dedans, c'est plus possible. Ma fille Mandy en a bu un verre l'autre jour et depuis elle vomit ses tripes jour et nuit…
   1029695|00000000||L'herboriste dit que pour combattre la fièvre, il faut boire de l'eau. De l'eau pure, pas de la bière ou du cidre. Le puits est la seule source d'eau pure à des lieues à la ronde… mais le fantôme laisse personne s'en approcher.
   1029181|00000000||Bonjour, l'ami. Vous avez un problème avec votre puits, il paraît ?
   1049553|00000000||Mhm ?
   1049555|00000000||{Yeá ? } [Oui ?]
   1049557|00000000||Eh !
   1049559|00000000||Vous êtes entouré par la Brigade Impera, Nordien, vous en êtes conscient ?
   1069326|e0351e50||Coffre au trésor
    166527|78f03e74||Rebouteuse
    332443|002e3ae9||Livre
    422229|00000000||Ah, un client !
    422233|00000000||Disposé à me fabriquer quelque chose ?
    422239|00000000||Puis-je vous passer commande ?
    422241|00000000||Au revoir.
    422235|00000000||Adieu.
    422231|00000000||Montrez-moi vos articles.
    422237|00000000||Montrez-moi ce que vous proposez.
    432590|d184d9f7||Spectre
   1037370|00000000||Qu'est-ce que je vous ai fait, moi, bordel ?! Hein ?! Qu'est-ce que je vous ai fait ?!
   1037368|00000000||Cinquante… années… de travail… Parties en fumée !
    594289|00000000||Je vais appeler ma mère !
    594291|00000000||Un chasseur sachant chasser doit savoir chasser sans son sien.… Rah !
    594293|00000000||Maman m'a dit que je me changerai en strige si je ne finis pas mon assiette !
    595891|fbee3e23||Paysanne
    547671|00000000||Vous avez du travail pour moi ?
    561651|00000000||Vous pensez que le capitaine pourrait avoir du travail pour moi ?
    561653|00000000||Je suis soldat, Nordien, pas recruteur.
    572004|00000000||La tour, c'est par là.
    561657|00000000||Dire que les gens ont peur des Escadrons noirs… Vous êtes très serviables, en fait.
    561659|00000000||Pas toujours, Nordien, pas toujours.
    547670|00000000||Vous voyez, vous pouvez être gentil quand vous voulez.
   1044726|00000000||Terrain militaire. Pas de villageois sans autorisation expresse du commandant.
    561511|00000000||Honnêtement, j'ai l'air d'un villageois ?
    561513|00000000||Vous avez l'air louche, surtout.
    561515|00000000||Vraiment ? Vous n'avez jamais vu un sorceleur, peut-être ?
    561517|00000000||Un sorceleur ?
