;meta[language=cleartext]
; id      |key(hex)|key(str)| text
   1040088|00000000|| ﻛﻨﺖ أﺗﺴﺎءل ﻛﻢ ﺳﺘﺴﺘﻐﺮق ﻣﻦ اﻟﻮﻗﺖ ﻟﺘﺠﺪﻧﻲ ﯾﺎ (ﺟﯿﺮاﻟﺖ).
   1041871|00000000|| أﻧﺎ ﺑﺎﻟﻄﺎﺑﻖ اﻟﻌﻠﻮي. ﻻ ﺗﻜﻦ ﺧﺠﻮﻻً.
   1040092|00000000|| ﺗﺤﯿﺎﺗﻲ أﯾﮭﺎ (اﻟﻮﯾﺘﺸﺮ).
   1041934|00000000|| واو. ھﺬا راﺋﻊ.
   1060296|00000000||ﯾﺠﺐ أن ﺗﻜﻮﻧﻲ ﻣﺴﺘﻌﺪة ﻟﺘﻘﺪﯾﻢ ﺑﻌﺾ اﻟﺘﻀﺤﯿﺎت.
   1060298|00000000||ﻣﻤﻢ... ﺗﺘﻄﻠﺐ ﺑﻌﺾ اﻟﻘﻀﺎﯾﺎ ﺗﻘﺪﯾﻢ ﺗﻀﺤﯿﺎت.
   1060300|00000000||اﻟﻘﻀﺎﯾﺎ... ﻣﺎذا ﻋﻦ اﻷﺷﺨﺎص؟
   1060302|00000000||وﻛﺬﻟﻚ ﺗﺘﻄﻠﺐ ﻣﺴﺎﻋﺪة اﻷﺷﺨﺎص ﺗﻘﺪﯾﻢ ﺑﻌﺾ اﻟﺘﻀﺤﯿﺎت.
   1060304|00000000||إذن، رﺑﻤﺎ ﺗﻮد اﻟﻐﻮص وإﺣﻀﺎر ھﺬا اﻟﻜﯿﺲ ﻣﻦ أﺟﻠﻲ؟
   1060306|00000000||أﻧﺖِ ﺗﻔﻮزﯾﻦ.
    501304|00000000||ﺗﻮﻗﻔﺎ… أﺗﺴﻤﻌﺎن…؟ ﻟﻘﺪ أﺗﻮا ﻣﻦ أﺟﻠﻨﺎ.
    501305|00000000||ﻟﻢ ﯾﻀﻌﻒ اﻟﻤﻐﻔﻞ ﺣﺘﻰ ﺑﺪأت ﻓﻲ وﺧﺰه ﻓﻲ ﻛﻌﺒﯿﮫ.
    501306|00000000||ﻛﻞ رﺟﻞ ﻟﺪﯾﮫ ﻣﻨﺎطﻖ ﺣﺴﺎﺳﺔ. ﻛﻨﺖ أﺳﺘﺠﻮب ﺳﺎﺣﺮًا ذات ﻣﺮة، وﻟﻢ ﯾﺘﺄﺛﺮ ﺑﺎﻷﻟﻢ ﻣﻄﻠﻘًﺎ. اﻧﺘﺰﻋﺖ أظﺎﻓﺮه، وﺳﺤﻘﺖ ﺧﺼﯿﺘﯿﮫ… وﻟﻢ ﯾﺠﺪِ ذﻟﻚ ﺷﯿﺌًﺎ.
    501510|00000000||اﺗﻀﺢ أن اﻟﺪﻏﺪﻏﺔ ﺗﺤﻄﻢ أﻋﺼﺎﺑﮫ. وﺿﻌﺖ ﺧﻨﻔﺴﺎء ﻋﻠﻰ ﺑﻄﻨﮫ، ووﺿﻌﺖ إﺑﺮﯾﻘًﺎ ﻓﻮﻗﮭﺎ. وﻟﻢ ﯾﻠﺒﺚ طﻮﯾﻼً ﺣﺘﻰ أﺻﺎﺑﮫ اﻟﺠﻨﻮن.
    501307|00000000||ﺣﺎﻟﻔﻨﺎ اﻟﺤﻆ ھﺬه اﻟﻤﺮة، ﻟﻜﻦ… ﻣﻦ اﻷﻓﻀﻞ أن ﺗﺮﺣﻼ ﻋﺒﺮ اﻟﻤﺠﺎرﯾﺮ. اﻟﺒﺎب ﻓﻲ اﻷرﺿﯿﺔ.
    501308|00000000||اﻧﺘﺒﮫ ﻟﻨﻔﺴﻚ ﯾﺎ (ﻛﻠﻮج).
    490551|00000000||ﯾﻤﻜﻨﻨﻲ أن أﻗﻮم ﺑﺬﻟﻚ. أﯾﻦ ﻗﺬﻓﺖ اﻟﻄﺮد؟
    490552|00000000||ﺑﺎﻟﻘﺮب ﻣﻦ اﻟﺮاﻓﻌﺔ، ﻋﻨﺪ اﻟﺠﺴﺮ اﻟﺜﺎﻧﻲ ﻣﻦ اﻟﻤﯿﻨﺎء.
    490553|00000000||ﻟﻢ أﺗﻮﻗﻊ ﻣﺜﻞ ھﺬا اﻹﺧﻼص.
    499761|00000000||أردت اﻻﻧﺘﻌﺎش ﻋﻠﻰ أي ﺣﺎل، ﻓﻠﻨﺬھﺐ.
   1060295|00000000||ﺳﺄﺣﻀﺮه أﻧﺎ.
    490545|00000000||أھﻼً (ﻛﻠﻮج). ھﻞ ﺗﻤﻜﻨﺖ ﻣﻦ ﻣﻜﻮﻧﺎت اﻟﻤﺴﺘﺨﺮج اﻟﺴﺤﺮي اﻟﺬي طﻠﺒﺘﮫ؟
    490546|00000000||ﻧﻌﻢ، ﺑﺸﻜﻞ ﻣﺎ… ﻣﻊ ﺑﻌﺾ اﻟﺼﻌﻮﺑﺎت إذا ﺟﺎز اﻟﺘﻌﺒﯿﺮ. ﻛﻨﺖ أﺳﯿﺮ ﻋﻠﻰ ﺿﻔﺔ اﻟﻘﻨﺎة ﺣﺎﻣﻼً ﻛﯿﺴًﺎ ﻣﻤﻠﻮءًا ﺑﺎﻟﺤﺎﺟﯿﺎت اﻟﺘﻲ طﻠﺒﺘِﮭﺎ. ورﻓﻌﺖ رأﺳﻲ ﻷﻟﻤﺢ ﺛﻼﺛﺔ ﻣﻦ ﺣﺮاس اﻟﻤﻌﺒﺪ ﻗﺎدﻣﯿﻦ ﻣﻦ اﻻﺗﺠﺎه اﻟﻤﻘﺎﺑﻞ.
    499759|00000000||ادﺧﻞ ﻓﻲ اﻟﻤﻮﺿﻮع ﯾﺎ (ﻛﻠﻮج)، ﻻ وﻗﺖ ﻟﺪيﱠ اﻟﯿﻮم ﻹﺣﺪى ﻗﺼﺼﻚ اﻟﻄﻮﯾﻠﺔ.
    492471|00000000||اﻧﺘﻈﺮي… ﻛﯿﺲ ﻣﻤﻠﻮء ﺑﺎﻷﺷﯿﺎء اﻟﺴﺤﺮﯾﺔ وھﻢ ﻗﺎدﻣﻮن ﻓﻲ اﺗﺠﺎھﻲ ﻣﺒﺎﺷﺮة! أﻧﺎ ﻻ أﺧﺎف ﺑﺴﮭﻮﻟﺔ، ﻟﻜﻨﻨﻲ ﺷﻌﺮت ﺑﻌﺮق ﺑﺎرد ﯾﻨﺴﺎب ﻋﻠﻰ ظﮭﺮي.
    509927|00000000||ﻟﻸﺳﻒ ﻟﻢ ﯾﻜﻦ أﻣﺎﻣﻲ اﺧﺘﯿﺎر. اﺿﻄﺮرت إﻟﻰ إﻟﻘﺎء اﻟﻜﯿﺲ ﻓﻲ اﻟﻤﺎء. وﻋﻨﺪﻣﺎ ﺳﺄﻟﻮﻧﻲ ﻋﻦ اﻟﺴﺒﺐ، ادﻋﯿﺖ أن ﺑﮫ ﻗﻄﺔ ﻣﯿﺘﺔ. أﻧﺖِ ﻟﻦ ﺗﺼﺪﻗﻲ ھﺬا، ﻟﻜﻨﮭﻢ ﺻﺪﻗﻮه!
    490547|00000000||أرﯾﺪ ذﻟﻚ اﻟﻄﺮد ﯾﺎ (ﻛﻠﻮج)، ﻟﻘﺪ ﻋﻘﺪﻧﺎ اﺗﻔﺎﻗًﺎ.
    490548|00000000||ﻻ ﺑﺪ أﻧﮫ ﻓﻲ ﻗﺎع اﻟﻨﮭﺮ. ﻟﺤﺴﻦ اﻟﺤﻆ اﻟﻜﯿﺲ ﺛﻘﯿﻞ ﺑﻤﺎ ﯾﻜﻔﻲ ﻟﻠﻐﺮق. وأﻧﺎ ﻣﺘﺄﻛﺪ أﻧﮫ ﺳﯿﻈﮭﺮ إذا ﺑﺤﺜﺖ ﻋﻨﮫ.
    490549|00000000||ھﻞ ﺗﺘﻮﻗﻊ ﻣﻨﻲ أن أدﻓﻊ ﻟﻚ، ﺛﻢ أﻏﻮص ﻷﺑﺤﺚ ﻋﻦ ﺣﺎﺟﯿﺎﺗﻲ ﻓﻲ ﺗﻠﻚ اﻟﻘﺬارة اﻟﺒﺎردة؟
    504650|00000000|| ﯾﻦ أﻟﻦ دواﻧﺎ ارﻋﺮص...
   1052051|00000000||   اﻟﻤﻜﺎن ﻛﺌﯿﺐ.
   1052053|00000000||  اﻟﻤﻜﺎن ﻣﻜﻔﮭﺮ.
   1052055|00000000||  ﺻﺤﯿﺢ، ﯾﺒﺪو ﻛﻤﺨﺒﺄ ﻟﻤﺼﺎﺻﻲ اﻟﺪﻣﺎء. ﻟﺬﻟﻚ ﯾﻤﻜﻨﻨﺎ أن ﻧﻄﻤﺌﻦ أن ﻻ أﺣﺪ ﺳﯿﺰﻋﺠﻨﺎ ھﻨﺎ.
   1052057|00000000||  أﻋﻄﻨﻲ اﻟﺘﻤﺜﺎل اﻟﺼﻐﯿﺮ وﺗﺮاﺟﻊ.
   1074442|00000000|| * ﻓﯿﺮ دﯾﺮ إن زﯾﺮ ﻛﺎﯾﺮزﯾﺮ ﻣﻦ أﺟﻞ اﻟﺸﺮف! ﻣﻦ أﺟﻞ اﻹﻣﺒﺮاطﻮر!*
   1016307|00000000|| * ووه إﯾﺮي ﺳﯿﻨﺪي؟ واﯾﻦ إﯾﺘﺸﻲ ھﯿﻨﻲ؟ ﻣَﻦْ أﻧﺖ؟ ﻣﺎذا أﻓﻌﻞ ھﻨﺎ؟*
   1072311|00000000|| * إﯾﺴﻲ ﺑﻮﻧﺪ... أرﯾﺪ أن أﺗﻘﯿﺄ...*
   1072313|00000000|| ﻣﺎ ھﻮ آﺧﺮ ﺷﻲء ﺗﺘﺬﻛﺮه؟
   1072315|00000000|| ﻣَﻦْ أﻧﺖ؟ وﻣﺎ ھﻮ آﺧﺮ ﺷﻲء ﺗﺘﺬﻛﺮه؟
   1072317|00000000|| أذﻛﺮ ﺗﻞ... ﻣﻌﺮﻛﺔ. ﻛﺎﻧﺖ ﻟﺪيّ أواﻣﺮ ﻟﻮﺣﺪة ﺟﯿﺶ... أﺗﺬﻛﺮ ﺳﺎﺣﺮة، ﺷﻌﺮھﺎ أﺣﻤﺮ ﻛﺄﻟﺴﻨﺔ اﻟﻠﮭﺐ... ﻟﻘﺪ أﻟﻘﺖ ﺗﻌﻮﯾﺬة.
   1072319|00000000|| ﻛﺎن ﻣﻦ اﻟﻤﻔﺘﺮض أن ﯾﮭﺎﺟﻢ اﻟﺠﻨﺎح اﻷﯾﻤﻦ ﻟﻠﺠﯿﺶ وﯾﻀﺮب ﺣﻤﻠﺔ اﻟﺪروع.
   1072321|00000000|| وﻟﻜﻦ اﻟﺠﻨﺎح اﻷﯾﻤﻦ ﻟﻢ ﯾﮭﺎﺟﻢ، واﻟﺴﺎﺣﺮة ﻛﺎﻧﺖ (ﻟﯿﺘﺎ ﻧﺎﯾﺪ) واﻟﻤﻌﺮوﻓﺔ أﯾﻀًﺎ ﺑﺎﺳﻢ (ﻛﻮرال). ﻛﻨﺖ ھﻨﺎك أﯾﻀًﺎ. ﻟﻘﺪ... ﻟﻘﺪ ﺣﺪث ھﺬا ﻣﻨﺬ وﻗﺖ طﻮﯾﻞ.
