;meta[language=cleartext]
; id      |key(hex)|key(str)| text
   1040088|00000000||Eu estava imaginando quanto tempo iria demorar, Geralt.
   1041871|00000000||Estou aqui em cima. Não tenhas vergonha.
   1040092|00000000||Saudações, bruxo.
   1041934|00000000||Ora, ora. Que beleza.
   1060296|00000000||Precisa se preparar para fazer sacrifícios.
   1060298|00000000||Bem... algumas causas requerem um sacrifício.
   1060300|00000000||Causas... e as pessoas?
   1060302|00000000||Para pessoas... é o mesmo caso.
   1060304|00000000||Então, quem sabe, você mergulharia em busca daquele saco para mim?
   1060306|00000000||Você venceu.
    501304|00000000||Pare... Ouviu isso...? Estão atrás da gente.
    501305|00000000||O idiota não cedeu até eu começar a alfinetar o calcanhar dele.
    501306|00000000||Todo homem tem seus pontos fracos. Interroguei um mago uma vez, a dor não o afetava. Arranquei suas unhas, esmaguei seu saco... nada.
    501510|00000000||Acabei descobrindo que ele morria de cócegas. Coloquei um besouro na barriga dele e coloquei uma caneca em cima. O cara quase ficou louco.
    501307|00000000||Demos sorte desta vez, mas... melhor você ir embora pelo esgoto. O alçapão está no piso.
    501308|00000000||Cuide-se, Kluhg.
    490551|00000000||Posso fazer isso. Onde você jogou o pacote?
    490552|00000000||Perto do guindaste. Na segunda ponte saindo do porto.
    490553|00000000||Eu não esperava tanta dedicação.
    499761|00000000||Eu já queria tomar um banho mesmo. Vamos.
   1060295|00000000||Eu pego.
    490545|00000000||Olá, Kluhg. Conseguiu os ingredientes do incenso mágico?
    490546|00000000||Sim, mas com... dificuldade, digamos assim. Eu andava pelo canal com um saco cheio de mercadorias para você. Olhei para cima e percebi um trio de Guardas Templários vindo da outra direção.
    499759|00000000||Vá direto ao assunto, Kluhg. Hoje não tenho tempo para uma das suas longas histórias.
    492471|00000000||Espere... um saco cheio de itens mágicos e eles estavam vindo bem na minha direção! Não fico com medo à toa, mas comecei a suar frio no cu, na hora.
    509927|00000000||Infelizmente, eu não tinha escolha. Joguei o saco na água, foi necessário. Quando me perguntaram por que, eu disse que era um gato morto. Você não vai acreditar, mas eles acreditaram em mim!
    490547|00000000||Preciso daquele pacote, Kluhg. Tenho um contrato.
    490548|00000000||Deve estar no leito do canal. Por sorte, ele era pesado o suficiente para afundar. Tenho certeza de que o encontrará se procurar.
    490549|00000000||Você espera que eu te pague e depois mergulhe atrás da minha mercadoria naquele rio nojento e congelante?
    504650|00000000||Yn all’an daonna ar ais...
   1052051|00000000||Que lugar sombrio.
   1052053|00000000||Este lugar é bem sombrio.
   1052055|00000000||É verdade. Parece um esconderijo de vampiro, e é por isso que podemos ter certeza de que ninguém nos incomodará aqui.
   1052057|00000000||Me dê a estatueta e afaste-se.
   1074442|00000000||{Ver d’eer en zer Kaer'zer! } [Pela honra! Pelo Imperador!]
   1016307|00000000||{Woh erre sinde? Waen iche hede? } [Quem é você? O que estou fazendo aqui?]
   1072311|00000000||{Esse pund... } [Vou vomitar...]
   1072313|00000000||Qual é a última coisa que lembra?
   1072315|00000000||Quem é você? Qual é a última coisa de que se lembra?
   1072317|00000000||Eu me lembro de uma colina... uma batalha. Eu tinha ordens, para uma unidade... lembro de uma feiticeira, com cabelos como chamas... ela lançou um feitiço.
   1072319|00000000||O flanco direito deveria atacar, acertar os escudeiros.
   1072321|00000000||O flanco direito não atacou. E a feiticeira era Lytta Neyd, também conhecida como Coral. Eu estava lá também... isso... aconteceu há muito tempo.
   1072323|00000000||{Sheyssere. } [Merda.]
   1072312|00000000||Descanse.
   1072325|00000000||Você está exausto. Acontece sempre, com compressão. Descanse um pouco.
   1072331|00000000||Sim, eu deveria.
   1072327|00000000||Quando se recuperar um pouco, deveria procurar o Embaixador var Attre. Ele vai ajudar.
   1072329|00000000||Boa sorte.
   1031846|00000000||Isso foi... interessante.
   1031847|00000000||E cansativo. Argh, quero cair em um colchão de penas e dormir até... bem, até eu acordar.
   1053802|00000000||Tenho outra estatueta.
   1052059|00000000||Tudo pronto. Mãos à obra.
   1052021|00000000||Vamos desfazer o feitiço deste nobre.
    477617|00000000||Vamos tentar. Acho que é um nobre...
    477672|00000000||Fique atento. Pode ser algo mais perigoso.
   1083314|00000000||[EN] Figurines - let's decompress one.
   1083315|00000000||[EN] Pretty grim place.
   1052020|00000000||Vamos descomprimir o soldado
   1051588|00000000||Vamos tentar descomprimir essa. Algo que eu possa fazer para ajudar?
   1051590|00000000||Sim. Fique calado e tente não perturbar.
    477687|00000000||Coral, não! Posso explicar tudo... *cof cof*...
    477688|00000000||Coral?
    477689|00000000||Nunca olhei para a garota... você é tudo pra mim!
    477690|00000000||Ah... você não é Coral. É alguma súcubo, um devaneio... Onde estou?
    504750|00000000||Ah, então a Coral o enfeitiçou.
    504769|00000000||Então a Coral o encantou. É bem a cara dela.
    504778|00000000||Se houver uma feiticeira mais vingativa, eu não a conheço. Bem, exceto, quem sabe...
    504780|00000000||A Coral não está aqui? Então... Venha a mim, súcubo.
    504749|00000000||Como você se chama?
    504752|00000000||Qual é seu nome?
    504763|00000000||Hmm?
    504764|00000000||Estamos em Novigrad. No-vi-grad.
   1051580|00000000||Em Novigrad? A última coisa de que me lembro é estar em Oxenfurt, e Coral estava furiosa. Como ela pode exigir fidelidade quando ela é promíscua como... como...
   1051582|00000000||Como cabras jovens.
   1051584|00000000||Exatamente. Droga. Sinto como se tivesse sido pisoteado por uma manada de gado. Não sei o que ela fez comigo, mas parece que você me resgatou do meu infortúnio.
   1051586|00000000||Tome. Pegue isto. Divirta-se. Livrei-me da Coral.
