;meta[language=cz]
; id      |key(hex)|key(str)| text
    575260|00000000||Radši se o to postarám sám.
    575770|00000000||O tom pochybuji. Divoký hon není armáda temerských štítovníků nebo lyrijských lučištníků.
    575219|00000000||Kdybychom se jim postavili tady, ohrozíme Wyzimu. Mohly by zemřít stovky nevinných.
    575777|00000000||Kaer Morhen leží uprostřed divočiny. Tvá armáda tam bude moct jednat mnohem účinněji než tady.
    575778|00000000||Hmm... souhlasím. Pošlu s tebou celou korouhev... Ale pod jednou podmínkou. Povede ji generál Voorhis.
    575780|00000000||S tím nemůžu souhlasit.
    575820|00000000||Já zase nemůžu dovolit, aby mému vojsku velel zaklínač.
    575821|00000000||Ani jeden z nás nemůže ustoupit. Vypadá to, že se nedohodneme.
    575826|00000000||Omlouvám se, že jsem tě okradl o čas, výsosti.
    575839|00000000||Přiveď mi Ciri.
    575841|00000000||Přivedu... pokud bude chtít přijít.
    575679|00000000||O tom nepochybuji – před jakýmikoli běžnými nepřáteli. Ale Divoký hon – to je něco jiného.
    575259|00000000||Nepochybně.
   1062496|00000000||Tvá císařská výsosti.
   1062499|00000000||Zaklínači. Proč jsi přišel?
    554325|00000000||Podařilo se mi zjistit, kde je Ciri.
    575193|00000000||No konečně. Už jsem si začínal myslet, že jsem udělal chybu, když jsem najal tebe. Hned mi ji sem přiveď.
    575194|00000000||Pronásleduje ji Divoký hon. Jediné místo, kde by mohla být v bezpečí, je Kaer Morhen.
    554326|00000000||To nebyl návrh, ale rozkaz. Svoji dceru dokážu ochránit sám.
    446004|00000000||Něco je překvapilo. Neměli šanci – ani nestačili zareagovat.
    446006|00000000||Stopy jsou hluboké... Bylo to něco velkého...
   1060566|00000000||Světluška se zastavila u chalupy. Měl bych se podívat dovnitř.
    446002|00000000||Tělo je ještě teplé a krev ani nestačila zaschnout...
    559458|05cea138||Běs
   1058289|0a09c08e||Močálnice
    560503|00000000||Nikoho jiného se mi najít nepodařilo. Gaspard tvrdí, že jsou mrtví.
    560548|00000000||Co je ti líto?
    581386|00000000||Jak to myslíš?
    554320|00000000||Lebo je děvčica studena jak psi čumak. Vypustila dušu.
    554321|00000000||Mosela zkapat chvilu před tym, než sme ju zmerčili.
    581369|00000000||Počkáme ťa u teho šífu.
    584305|00000000||Ta už je studena, tuha jak prkno. Nemohli sme nic robiť.
    584307|00000000||Počkáme ťa u teho šífu.
    560549|00000000||Nechte mě projít.
    560547|00000000||Ustupte.
    560553|00000000||Grrr. Šecko na levačku. Tož co zrobime včil?
    560554|00000000||Mám tady loď, můžete se vrátit se mnou. Ale nejdřív tady musím někoho najít.
    560555|00000000||Tu děvčicu s popelavym hárem?
    581382|00000000||Ano.
    581384|00000000||To je ně hrozně luto.
    560504|00000000||Ďakujeme, žes nam helfnůl. A nezlob sa, že zme ťa nezglaubčili hnedka.
    560501|00000000||Dalšího jsem viděl padat z útesu. Srazil si vaz.
    560502|00000000||Do řiti. Rubaník ně řikal, ať teho ogara nespůščám z oči. Že je to jakési synovec.
    560488|00000000||Jednoho jsem našel u doupěte nějaké nestvůry. Ale bohůmžel byl už mrtvý.
    554315|00000000||Gasparde! Ha! Co si taky zmateny jak lesna včela?!
    560411|00000000||Nésu zmateny. Su enem unaveny, jináč nyks.
    560412|00000000||A jak s ostatnyma?
    560302|00000000||Tví přátelé mě požádali, abych našel tebe, Ference a Iva.
