;meta[language=hu]
; id      |key(hex)|key(str)| text
    320960|00000000||Nem hagyom, hogy elvigyenek.
    320972|00000000||Nem hagyom, hogy elvigyenek, ugye tudod?
    320974|00000000||Tudom.
    561082|00000000||Csak maradj távol a bajtól.
    320982|00000000||Ne kezelj gyerekként.
    320984|00000000||Akkor sem tettem, amikor még az voltál.
    320986|00000000||Szeretem, amikor mosolyogsz.
    320988|00000000||Gyere ide.
    320990|00000000||Minden rendben lesz.
    320964|00000000||Érted jönnek. Akármi is történjék, nem sodorhatod magad veszélybe.
    320966|00000000||Azt akarod, hogy üljek és várjak, amíg mások az életüket teszik kockára értem?
    320968|00000000||Ez egyszer hallgass rám… ne vedd a kezedbe az irányítást.
    320958|00000000||Ne feledd, nem keverheted magad veszélybe.
    311661|00000000||Van egy perced?
    320956|00000000||Hűha, ez komolyan hangzik.
    520472|00000000||Hamarosan kezdődik.
    548190|00000000||Ha-ha-ha!
    586567|00000000||Igazad volt, ez tényleg beválik.
    586570|00000000||Köszönöm.
    586572|00000000||Szívesen.
    586574|00000000||És most mi következik?
    586576|00000000||Megnézem, hol van a mi drága bölcsünk…
    548186|00000000||Ha-ha! Legyőzték Ríviai Geraltot! Dolgozni kell még azokon a kitéréseken.
    549111|00000000||Biztos vagy benne, hogy nem engedtelek győzni?
    549151|00000000||Biztos vagy benne, hogy nem sértődtél meg azon, hogy legyőzött egy igazi mester?
    547898|07606bf7||Kincstárnok
   1076927|00000000||Szembe szállni a Vad Falkával… Kicsit erősebb, mint a gerillaháború.
    546798|00000000||Menni fog. Ne aggódj.
   1076925|00000000||Ves… ne legyél bolond.
    572659|00000000||Gyenge ítélőképességre vall idehívni a királygyilkost.
    307008|103d66e3||Nyúl
    550116|00000000||Nem érdekel.
    550129|00000000||Nem tudom és az igazat megvallva nem is érdekel.
    550131|00000000||Emlékszel? Az Avallac'hhal folytatott képzés után Novigradba lovaglunk.
    550133|00000000||Változott a terv. Imlerith ott lesz a szombaton. Ott elkapjuk.
    550139|00000000||Mit szól ehhez Avallac'h?
    550147|00000000||Miért nem hiszem, hogy Avallac'hnak tetszik ez az ötlet?
    550154|00000000||Talán látod itt? Írtam neki levelet, Novigradban csatlakozunk hozzá majd.
    554385|00000000||Honnan tudsz a boszorkányszombatról?
    554387|00000000||Honnan tudsz erről az egészről, Imlerith-ről, a boszorkányokról…
    554388|00000000||Avallac'htól. Beszélt azokról, akik hajszolnak minket. Szerinte maga a tudás is változást hozhat.
    550164|00000000||Hát jó, akkor irány Velen.
    550352|00000000||Te vezetsz.
    550212|00000000||A helyedben nem mennék.
    550258|00000000||*Sóhaj* Nem áll jól neked a fekete.
    550260|00000000||Ez meg mit jelent?
    550262|00000000||Szerinted azért akar veled találkozni, mert hiányzol neki? Véleményem szerint tervei vannak veled.
    550263|00000000||Húh. Számíthattam volna erre…
    550354|00000000||Geralt, elegem van. Nem fogom hagyni, hogy mások döntsenek rólam a hátam mögött. Megyünk Velenbe.
    550235|00000000||Valószínűleg csak beszélni szeretne veled.
    550237|00000000||Honnan tudod? Mi van akkor, ha mást is akar?
    550239|00000000||Nekem azt ígérte, semmire nem kényszerítene téged.
    550246|00000000||Szóval akkor oda kellene mennem.
    550247|00000000||Az apádról van szó…
    550252|00000000||Vizima útba esik. Végül is beugorhatunk.
    550211|00000000||Igen, oda.
    550218|00000000||Erről neked kell döntened.
    550220|00000000||Neked kellene eldöntened.
    550222|00000000||De érdekel a véleményed: menjek vagy se?
    550177|00000000||Várj még… van még valami, amit el kell mondanom.
    550179|00000000||Tudtad, hogy a császár nagyon szeretett volna előkeríttetni?
    550181|00000000||Yennefer… említett valamit.
    550183|00000000||Azt akarta, hogy keresd fel.
    550185|00000000||Miért mondod ezt most?
    550194|00000000||Mert talán nem lesz több lehetőséged találkozni az… az apáddal.
    550197|00000000||Szerinted oda kellene mennem?
    550163|00000000||Előbb el kell menni a császárhoz.
    550162|00000000||Gyere, útközben megbeszéljük.
    550135|00000000||Ciri… Biztosan tudod, mibe mászol bele?
    550137|00000000||Igen. És meg kell tennem.
    550138|00000000||Tudod, hogy mit csinálsz?
    550141|00000000||Honnan vetted ezt? Mi ütött beléd?
    550143|00000000||Meg kell bosszulnom Vesemirt.
    550145|00000000||A szombatnál nem lesz jobb alkalom. Imrelith lerészegedik, ott lesz a cimborái között és mulatozik majd. Nem számít arra, hogy lecsapunk rá.
    550123|00000000||Nem t'om. Mondd el!
    550125|00000000||Imlerith.
    550127|00000000||Ez a legjobb lehetőségünk elkapni.
    550115|00000000||Mondd meg.
    549156|00000000||Geralt! Geeeraaalt!
    549157|00000000||Ébresztő!
    549160|00000000||Mi? Mi van? Mi történik?
    549162|00000000||Kelj föl, mennünk kell. Már felnyergeltem a lovakat.
    549197|00000000||Ciri… még csak pirkad. Hová akarsz menni?
    547528|00000000||Velenbe. A Kopasz hegyre. Még néhány nap és kezdődik a boszorkányszombat.
    550114|00000000||Találd ki, hogy ki lesz a díszvendég!
    529751|00000000||Ciri! Vissza az erődbe!
    529752|00000000||Nem!
    531828|00000000||Geralt megadta a jelet!
    531830|00000000||Kész vagyok!
    543483|00000000||Elli Abadabra Sani!
    543485|00000000||Tetrah… Tetragh… Tetraglarie!
    543480|00000000||Láttam! Fedezz!
    548151|00000000||Na megállj, ezt megkeserülöd!
    548152|00000000||Öregszel! Célozni se tudsz már!
   1064962|00000000||Hahaha! Oh, el foglak páholni!
    548150|00000000||Hé, ez csalás!
    565655|00000000||Túl kevesen vagyunk.
    565707|00000000||Nem vagyunk elegen. Való igaz, visszavertük a Vad Falka támadását, de valljuk be, ez kisebb csoda volt. Legközelebb nem leszünk ilyen szerencsések.
    565709|00000000||Bocsáss meg, Geralt, de ez egy olyan ember üres fecsegése, aki láthatóan még nem tért magához egy tragikus veszteség után.
    565711|00000000||Igyál rá egyet, vagy aludj, ahogy tetszik… csak szedd össze magad, és gondold át a dolgot.
    565713|00000000||Úgy teszek, Zoltan.
    565656|00000000||Sajnos ez nem ilyen egyszerű. Nem tudjuk megtalálni őket, ők viszont nagyon könnyen minket. Akkor lepnek meg, amikor akarnak.
    565654|00000000||Nem ilyen egyszerű.
    465924|00000000||Jöttél megnézni, hogy érzem magam? Köszönöm, nem olyan rosszul.
    524918|00000000||Az jó.
    524919|00000000||Eh, szörnyű, ami Vesemirrel történt. Tudom, hogy közel álltatok egymáshoz.
    524920|00000000||Köszönöm, valóban.
    524925|00000000||Figyelj, igazán nem akarom beleütni az orrom olyasmibe, amihez semmi közöm, ezért kérlek, ne érts félre. Bárhogy is döntesz, segíteni szeretnék. Úgy vélem, ellentámadást kellene indítanunk.
    524926|00000000||Meg kell találnunk a Vad falkát és Eredint, és rájuk rontani, akár a bika az üszőre.
    572961|00000000||A fenébe is, nagyon fog hiányozni.
    466174|00000000||Gyertek!
    466172|00000000||Gyertek csak!
    466170|00000000||Tartsátok a pozíciót!
    319846|00000000||Majd szemmel tartom.
    310326|00000000||Lethót majd én szemmel tartom.
    319901|00000000||Én pedig jól viselkedek, ígérem.
    319903|00000000||Ha ezt a gyilkos lesed, nem figyelheted az ellenséget. Miért ilyen fontos ez a királygyilkos?
    319905|00000000||Eredin is király, nem?
    559318|00000000||Basszátok meg! Mindketten!
    319848|00000000||Itt én vagyok a parancsnok.
    319959|00000000||Itt én vagyok a parancsnok, én hozom a döntéseket. Tudhatnátok, hogy háborúban nincs helye vitának.
    319961|00000000||Tudod mit, Geralt? Életemben sok mindent tettem, amit szívesen visszacsinálnék, de mindig tiszteltem azokat, akiknek a szolgálatában álltam, és mindig megbíztam bennük.
    319963|00000000||Itt, Kaer Morhenben ez lesz az első alkalom, hogy egyiket sem tudom elmondani.
   1062868|00000000||Maradunk és segítünk. De nem akarunk neki hátat fordítani.
    319887|00000000||Meg kell menteni Cirit, bármi áron. És Letho már harcolt a Vad falkával.
    319889|00000000||Nem a képességeit kérdőjelezem meg, egyszerűen csak nem bízom benne.
    319891|00000000||Letho nem árul el minket.
    319893|00000000||Naiv vagy, mindig is az voltál. Ez általában nem érdekel, de ez alkalommal megölheted vele Vest, és engem is.
    559312|00000000||Gondold ezt át, mielőtt túl késő lenne.
    319844|00000000||Meg kell értenetek.
    535946|00000000||Ó, régi barátok.
    536191|00000000||Mit keres itt ez a kurafi?
    536194|00000000||Szükségünk van rá.
    559315|00000000||Talán elfelejtetted, mit tett? Mert én nem!
    535941|00000000||Örülök, hogy itt vagytok.
    535942|00000000||Egyedül indultam el, de Ves megtalált. Ragaszkodott hozzá, hogy ő is jöjjön.
    536186|00000000||Le akartalak hordani, amiért nem kérted a segítségem. De útközben kitöltöttem a dühöm Roche-on.
   1061994|00000000||Jó téged újra látni.
   1061992|00000000||A fenébe is, jó téged újra látni.
    462992|00000000||Örülök, hogy látlak, Triss.
    522511|00000000||Köszönd Yennefernek. Ő hívott meg.
    549984|00000000||Lesz még időnk később beszélni. Most kellene tárgyalnunk.
    522515|00000000||Kezd hűvös lenni. Elkezdhetnénk a tanácskozást.
    522544|00000000||Ne álljunk itt kinn.
    520117|00000000||Igen. Gyertek, tanácskozzunk.
   1061996|00000000||Kevés az időnk. A Vad Falka hamarosan itt lesz.
   1061993|00000000||A Vadak hamarosan itt lesznek.
    462983|00000000||Nincs értelme idekinn lenni… Gyere be.
    462858|00000000||Mindannyian itt vannak, mindenki, akinek a segítségét kérted. Avallac'h a toronyban pihen, még mindig elég rossz állapotban van.
    522469|00000000||Hőőő. Jól van, jól van. Rendben van.
    522472|00000000||Mi a…?
    522475|00000000||Üdv ismét, gyermekem!
    522478|00000000||*Sikkant* Ciri!
    522481|00000000||Istenem, de gyönyörű lettél!
    522484|00000000||Nincs értelme ott ácsorogni. Gyere, ideje üdvözölni a többieket.
    522486|00000000||Semmit sem változtatok. Egyiktek sem… így emlékeztem rátok.
    522488|00000000||Mi?
    549628|00000000||Kishúgom.
   1061976|00000000||Yen, te jobban ismered a Vad Falkát, mint bárki. Mesélnél az általuk használt mágiáról…
   1061978|00000000||A navigátoraik portálokat nyitnak, olyan hasadékokat, amik ellen küzdhetünk dimeritiummal vagy a mi mágiánkkal.
   1061980|00000000||Ezen felül megidézhetik a fagyot, ami kitölti a semmit, amin keresztül utaznak.
   1062794|00000000||Egyszerűen nem vagyunk elegen. Kemény harc lesz.
    466075|00000000||Még többen jönnek! Figyelj!
    466077|00000000||A pokolba!
    466073|00000000||Túl sokan vannak!
    572909|00000000||Készüljetek, hamarosan újabb hullám érkezik!
    572908|00000000||Ügyeljetek jól!
    572917|00000000||Csukjátok be azt az átkozott kaput!
    572918|00000000||A kaput, a pokolba is! Csukjátok be a kaput!
   1074923|00000000||Egy nagyobb egység közeledik az erdőből!
    577451|00000000||Be kell zárnunk a kaput, mielőtt bejutnak.
   1074921|00000000||Legyetek éberek! Figyeljetek egymásra! Utat találtak bentre!
    532804|00000000||Elhagyni az udvart! Kaput becsukni!
    532922|00000000||Lambert, ne hősködj!
    532923|00000000||Geralt, menj Lambertért, most!
    532951|00000000||Vissza kell húzódnunk! Yennefer ereje fogy!
    532933|00000000||Megölték! A szukafattyak!
    562205|00000000||Megölték Lambertet!
    532946|00000000||Lambert, az ördögbe is! Maradj velünk!
   1074915|00000000||Hogy haladtatok az erdőben?!
   1074919|00000000||Bezártunk két hasadékot, aztán összefutottunk a Falka egyik hadnagyával.
   1076913|00000000||Készen állsz a harcra?
    465103|00000000||Késznek születtem.
   1076911|00000000||Ha egyszer elkezdődik… Nem játszod a hőst, rendben?
    465101|00000000||Vettem. Ezek nem holmi közönséges lidércek.
   1062948|00000000||Micsoda átkozott régi kacat. Alig fiatalabb Vesemirnél.
    542145|00000000||Szerencsével jártál?
   1076915|00000000||Jutottál valamire?
   1062950|00000000||Nem bírok belőle kilőni semmit. Előbb neveznek ki Novigrad főpapjának.
    321078|00000000||A pokolba is, éppen időben!
