;meta[language=it]
; id      |key(hex)|key(str)| text
    320960|00000000||Non lascerò che ti prendano.
    320972|00000000||Non lascerò che ti prendano, lo sai vero?
    320974|00000000||Lo so.
    561082|00000000||Resta al sicuro, non cacciarti nei guai.
    320982|00000000||Non trattarmi come una bambina.
    320984|00000000||Non l'ho fatto nemmeno quando lo eri.
    320986|00000000||Mi piace quando sorridi.
    320988|00000000||Vieni qui.
    320990|00000000||Andrà tutto bene.
    320964|00000000||Ti stanno cercando. A prescindere da ciò che accadrà, non devi correre pericoli.
    320966|00000000||Vuoi che mi metta comoda mentre gli altri rischiano la vita per me?
    320968|00000000||Dammi retta, almeno questa volta. Non affrontare il nemico da sola.
    320958|00000000||Ricorda, non devi rischiare.
    311661|00000000||Hai un minuto?
    320956|00000000||Ehi, arriva il discorsetto.
    520472|00000000||Ci siamo quasi.
    548190|00000000||Ah ah ah!
    586567|00000000||Avevi ragione, funziona davvero.
    586570|00000000||Grazie.
    586572|00000000||Lieto di esserti stato utile.
    586574|00000000||E adesso che farai?
    586576|00000000||Andrò a vedere dove si è cacciato il nostro caro Saggio...
    548186|00000000||Ah ah ah! Geralt di Rivia, sconfitto! Devi allenare quelle schivate.
    549111|00000000||Sicura che non ti abbia lasciata vincere?
    549151|00000000||Sicuro di non stare dissimulando una sconfitta per mano di un vero maestro?
    547898|07606bf7||Tesoriere
   1076927|00000000||Affrontare la Caccia Selvaggia... Un po' più difficoltoso dei soliti scontri con i guerriglieri.
    546798|00000000||Me la caverò, non temere.
   1076925|00000000||Ves... Non essere arrabbiata.
    572659|00000000||Non è saggio avere qui il regicida.
    301032|5a979acb||Guerriero della Caccia Selvaggia
    307008|103d66e3||Lepre
    550116|00000000||Non mi interessa.
    550129|00000000||A dire il vero, non lo so e non mi interessa.
    550131|00000000||Dopo l'addestramento con Avallac'h, dobbiamo recarci a Novigrad, ricordi?
    550133|00000000||Cambiamento di piani. Imlerith presenzierà al sabba. Lo raggiungeremo lì.
    550139|00000000||Che ha detto Avallac'h?
    550147|00000000||Perché dubito che Avallac'h sia entusiasta di questa idea...?
    550154|00000000||Lo vedi qui per caso? Gli ho lasciato una lettera. Lo raggiungeremo a Novigrad.
    554385|00000000||Come hai saputo del sabbat?
    554387|00000000||Come hai saputo tutto questo? Di Imlerith, del sabbat...
    554388|00000000||Avallac'h... Mi ha parlato di coloro che ci inseguono. Dice che la conoscenza può cambiare le sorti.
    550164|00000000||D'accordo, e Velen sia.
    550352|00000000||Fammi strada.
    550212|00000000||Se fossi in te, non andrei.
    550258|00000000||Non ti dona molto il nero.
    550260|00000000||Che intendi dire?
    550262|00000000||Credi che voglia incontrarti solo perché gli manchi? Per come la vedo io, ha dei piani precisi per te.
    550263|00000000||Urgh... Avrei dovuto immaginarlo...
    550354|00000000||Geralt, ne ho abbastanza. Non lascerò che altri decidano per me. Partiamo per Velen.
    550235|00000000||Probabilmente, vuole solo parlarti.
    550237|00000000||Come fai a esserne certo? E se volesse qualcos'altro?
    550239|00000000||Ha promesso che non ti avrebbe costretto a fare nulla.
    550246|00000000||Quindi, dovrei andare...
    550247|00000000||È tuo padre...
    550252|00000000||Vizima è lungo la strada... Immagino che potremmo fermarci.
    550211|00000000||Sì, dovresti.
    550218|00000000||Devi essere tu a decidere.
    550220|00000000||Devi deciderlo da sola.
    550222|00000000||Ma io voglio la tua opinione... Dovrei andare o no?
    550177|00000000||Aspetta... Prima di andare, c'è una cosa che devo dirti...
    550179|00000000||Sai che l'imperatore voleva a tutti i costi trovarti?
    550181|00000000||Yennefer... Ha menzionato qualcosa.
    550183|00000000||Vuole che tu lo incontri.
    550185|00000000||Perché me lo dici proprio ora?
    550194|00000000||Perché questa potrebbe essere l'ultima occasione di vedere tuo... Padre.
    550197|00000000||Pensi che dovrei andare?
    550163|00000000||Prima devo fare visita all'imperatore.
    550162|00000000||Vieni, parleremo lungo la strada.
    550135|00000000||Ciri... Sicura di sapere quello che stai facendo?
    550137|00000000||Sì. E devo farlo.
    550138|00000000||Sai davvero quello che fai?
    550141|00000000||Da dove ti è venuta quest'idea? Che cosa ti è preso?
    550143|00000000||Devo vendicare Vesemir.
    550145|00000000||Il sabbat... È l'occasione perfetta. Imlerith sarà ubriaco, in mezzo ai suoi compagni e preso dai bagordi. Non si aspetterà un attacco.
    550123|00000000||Non lo so, illuminami.
    550125|00000000||Imlerith.
    550127|00000000||Non avremo occasione migliore di ucciderlo.
    550115|00000000||Illuminami.
    549156|00000000||Geralt! Geeeraaalt!
    549157|00000000||Svegliati!
    549160|00000000||Che... Che c'è? Cosa succede?
    549162|00000000||Alzati, dobbiamo andare. Ho già sellato i cavalli.
    549197|00000000||Ciri... È a malapena l'alba. Dove vorresti andare?
    547528|00000000||A Velen. Sul Monte Brullo. Mancano pochi giorni al sabba delle streghe.
    550114|00000000||E indovina chi è l'ospite d'onore...?
    529751|00000000||Ciri! Torna nella fortezza!
    529752|00000000||No!
    531828|00000000||Geralt ha dato il segnale!
    531830|00000000||Sono pronta!
    543483|00000000||Elli Abadabra Sani!
    543485|00000000||Tetrah... Tetragh... Tetraglarie!
    543480|00000000||Ho visto! Coprimi!
    548151|00000000||Oh, l'hai voluta tu!
    548152|00000000||Stai invecchiando! Non hai più mira!
   1064962|00000000||Ah ah ah! Oh, ti darò una lezione!
    548150|00000000||Ehi, questo è barare!
    565655|00000000||Siamo troppo pochi.
    565707|00000000||Siamo in pochi. Abbiamo respinto l'attacco della Caccia, è vero, ma è stato un miracolo. Nient'altro che un miracolo. Non si ripeterà.
    565709|00000000||Perdonami, Geralt, ma questi sono i vaneggiamenti di un uomo che non ha ancora superato una terribile perdita.
    565711|00000000||Bevi, dormi, fai ciò che vuoi... Quando ti riprenderai, vedrai le cose più chiaramente.
    565713|00000000||Lo farò, Zoltan.
    565656|00000000||Non è così facile, purtroppo. Non abbiamo modo di trovarli, mentre loro ci individueranno facilmente. Potrebbero coglierci di sorpresa in qualsiasi momento.
    565654|00000000||Non è così facile.
    465924|00000000||Sei venuto per sapere come sto? Grazie, non male.
    524918|00000000||Ottimo.
    524919|00000000||Figliolo, mi dispiace molto per Vesemir. So quanto eravate vicini.
    524920|00000000||Già. Grazie.
    524925|00000000||Ascolta, lungi da me l'idea di metter bocca su questioni che non mi competono, quindi non prenderla male. Ti aiuterò, qualunque cosa deciderai. Ma secondo me dovremmo contrattaccare.
    524926|00000000||Dovremmo trovare la Caccia ed Eredin, e caricarli come un toro che monta una giumenta.
    572961|00000000||Dannazione, ci mancherà.
    466174|00000000||Fatevi sotto!
    466172|00000000||Forza!
    466170|00000000||In posizione!
    319846|00000000||Lo terrò d'occhio.
    310326|00000000||Terrò d'occhio Letho.
    319901|00000000||E io farò il bravo, promesso.
    319903|00000000||Se tieni d'occhio questo assassino, non potrai tenere d'occhio il nemico. Perché il regicida è così importante?
    319905|00000000||Eredin è un re, vero?
    559318|00000000||Andate affanculo tutti e due.
    319848|00000000||Comando io, qui.
    319959|00000000||Sono io che comando, la decisione spetta a me. Sapete entrambi che si mettono da parte i conflitti quando si scende in guerra.
    319961|00000000||Sai una cosa, Geralt? Ho fatto un mucchio di cose di cui mi pento. Ma ho sempre rispettato coloro che ho servito e ho sempre avuto fiducia in loro.
    319963|00000000||Qui, a Kaer Morhen, sarà la prima volta che non accadrà.
   1062868|00000000||Resteremo ad aiutare. Ma non gli daremo mai le spalle.
    319887|00000000||Devo salvare Ciri a qualsiasi costo. E Letho ha già affrontato la Caccia.
    319889|00000000||Non metto in dubbio le sue doti, ma non mi fido di lui.
    319891|00000000||Letho non ci tradirà.
    319893|00000000||Sei un ingenuo, come sempre. Di solito me ne frego, ma questa volta io e Ves potremmo rimetterci la pelle.
    559312|00000000||Pensaci bene, prima che sia troppo tardi.
    319844|00000000||Cerca di capirmi.
    535946|00000000||Ah, i vecchi amici!
    536191|00000000||Cosa ci fa qui questo figlio di puttana?
    536194|00000000||Abbiamo bisogno di lui.
    559315|00000000||Forse tu hai dimenticato cos'ha fatto, ma io no.
    535941|00000000||Lieto di vedervi.
    535942|00000000||Ero partito da solo, ma Ves mi ha raggiunto. Ha insistito per venire.
    536186|00000000||Dovrei prenderti a calci per non avere chiesto il mio aiuto. Ma mi sono sfogata con Roche lungo la strada.
   1061994|00000000||Lieto di rivederti.
   1061992|00000000||Diamine, è bello rivederti.
   1123852|00000000||No... Andiamo, ci stanno aspettando.
   1123849|00000000||No, andiamo.
   1123855|00000000||Se per te non è un problema...
   1123858|00000000||Sembra che l'abbia presa bene.
   1123860|00000000||O vuole farcelo credere.
   1123863|00000000||Non vengo qui da un bel pezzo, e tu?
   1123865|00000000||Da troppo tempo. Com'è la stanza degli ospiti? È cambiato qualcosa?
   1123867|00000000||Uhm. Il letto, ehm... si è rotto.
   1123869|00000000||Nessun problema, dormiremo per terra. Stenderemo a terra una pelle e...
   1123872|00000000||Ehm...
   1123874|00000000||Meglio andare.
   1123850|00000000||Solo se davvero non c'è problema...
   1123843|00000000||Volete stare un momento da soli?
   1123846|00000000||Mi spiace, non volevamo...
   1123848|00000000||Lo so, è una domanda semplice... Vuoi che stiamo un po' da soli?
    462992|00000000||Lieto di vederti, Triss.
    522511|00000000||Ringrazia Yennefer. È stata lei a invitarmi.
    549984|00000000||Avremo tempo di parlarne più tardi. Ora dobbiamo discutere.
   1123878|00000000||Io... Forse dovrei lasciarvi un attimo soli.
   1123880|00000000||Triss, per favore...
   1123882|00000000||No, no. Avrete sentito moltissimo la mancanza l'uno dell'altra. Un minuto di ritardo non farà male a nessuno.
   1123889|00000000||D'accordo. Un minuto e poi andiamo, va bene?
   1123892|00000000||Uhm. È un po' imbarazzante...
   1123894|00000000||Quarantacinque secondi.
   1123896|00000000||Eh?
   1123898|00000000||Mancano quarantacinque secondi. Be', adesso trenta. Poi attaccheremo la Caccia Selvaggia. Quindi usate bene i secondi rimasti.
   1123901|00000000||Yen, ti adoro.
   1123903|00000000||Uhm, nessun punto per la creatività. Per la schiettezza, però...
   1123906|00000000||È ora di andare.
   1123884|00000000||D'accordo. Un minuto e poi andiamo.
   1123883|00000000||No. Meglio andare tutti ora.
   1123886|00000000||No, meglio andare. Ci stanno aspettando.
    522544|00000000||Non restiamo qui.
    520117|00000000||Già. Vieni, riuniamo il consiglio.
   1061996|00000000||Il tempo stringe. La Caccia Selvaggia arriverà presto.
   1061993|00000000||La Caccia arriverà presto.
    462983|00000000||Non c'è motivo di discuterne qua fuori. Venite dentro.
    462858|00000000||Le persone a cui hai chiesto aiuto sono tutte qui. Avallac'h sta riposando nella torre, è ancora malconcio.
    522469|00000000||Oh... Buoni. Va tutto bene.
    522472|00000000||Ma che diav...?
    522475|00000000||Bentornata, cara...
    522478|00000000||Ciri!
    522481|00000000||Oh, sei diventata splendida...
    522484|00000000||Non c'è motivo di restare qui. Vieni, andiamo a salutare gli altri.
    522486|00000000||Non sei per niente cambiato. Tutti voi... Siete esattamente come vi ricordavo.
    522488|00000000||Che c'è?
    549628|00000000||Sorellina...
    522515|00000000||Fa freddo. Vieni, dobbiamo riunirci in consiglio.
   1061976|00000000||Yen, conosci la Caccia Selvaggia meglio di chiunque altro. Puoi parlarci della magia che usano?
   1061978|00000000||I loro navigatori aprono dei portali, squarci che potremmo contrastare con del dimeritium o con la nostra magia.
   1061980|00000000||Inoltre, evocano il gelo presente nel vuoto attraverso cui viaggiano.
   1062794|00000000||Non siamo abbastanza. Sarà uno scontro difficile.
    466075|00000000||Ne arrivano altri! Attenzione!
    466077|00000000||Dannazione!
    466073|00000000||Sono troppi!
    572909|00000000||Stiamo pronti, arriva un'altra ondata!
    572908|00000000||Fai attenzione.
    572917|00000000||Chiudi quella dannata porta!
    572918|00000000||La porta, maledizione! Chiudi la porta!
