;meta[language=cleartext]
; id      |key(hex)|key(str)| text
    530186|27bce67d||Amuleto mágico
    592263|00000000||Encontre o local onde o monstro saiu da água usando os seus sentidos de bruxo.
   1047249|baa6fb37||Jesse
   1049943|60ea26e0||Espada de aço. Para lutar contra adversários humanos, humanoides e feras comuns.
   1062564|d7dd1caa||Patrulha desaparecida - Recompensa
   1063947|e71d7c8e||Se você possui Vigor disponível, ataques fortes consomem tudo e reduzem a Vitalidade do oponente golpeado em 10%, após o dano normal ser calculado.
   1063956|fc921508||Limita significativamente a duração de Nocaute, Hipnose, Atordoamento e Cegueira.
   1063965|fc921527||Aplica um fortalecimento, aumentando a intensidade de um Sinal aleatoriamente selecionado ao anoitecer e ao amanhecer. Dura mais do que outros elixires mutagênicos.
   1064031|3a84c32a||Duração estendida. Venenos agora curam ao invés de causarem dano.
   1069036|0b5e880d||Fétidas paixões: uma vida de tiromancia
   1071257|73e75aa8||Eficiente contra humanos, não-humanos e feras comuns.
   1073410|00000000||Execute um ataque rápido contra Vesemir apertando <<AttackWithAlternateLight>>.
   1073412|00000000||Execute um ataque forte contra Vesemir segurando <<PCAlternate>> e apertando <<AttackWithAlternateLight_mod>>.
   1075370|00000000||Para executar um ataque rápido, aperte <<AttackWithAlternateLight>>.
   1075376|00000000||Para executar um ataque forte, segure <<PCAlternate>> e aperte <<AttackWithAlternateLight_mod>><br><br>Ataques fortes são mais lentos do que ataques rápidos, mas causam mais dano contra oponentes fortes.<br><br>Oponentes fracos não conseguem bloquear ataques fortes.
   1075380|00000000||Aperte <<RadialMenu>> para abrir o <font color="#CD7D03">Menu de Acesso Rápido</font>.<br><br>Aqui você poderá ativar Sinais, armas de longo alcance, itens especiais e bombas.<br><br>O <font color="#CD7D03">Menu de Acesso Rápido</font> também mostra todos os efeitos do seu personagem no momento.
   1075382|83487b7d||Lobisomens, também conhecidos como licantropos, são pessoas capaz de alterar sua forma para a de um lobo ou um híbrido meio humano, meio lobo. A maioria dos afetados pela licatropia não tem controle total sobre essas transformações. Quando na forma de lobo, eles agem puramente com base no instinto de predador, conduzidos pela fome e cegos para as morais humanas.
   1075722|00000000||Para usar um Sinal, aperte <<CastSign>>.<br><br>Sinais e algumas outras ações consomem Vigor. Antes de usar novamente um Sinal, você precisará esperar para o seu Vigor regenerar.<br>Para selecionar um Sinal, você pode usar os atalhos do teclado <<SelectAard>> - <<SelectAxii>>.
