;meta[language=cz]
; id      |key(hex)|key(str)| text
   1061658|00000000||Mnozí si ani nedokážou představit to přátelství, které se mnou Geralt z Rivie sdílí už více než čtvrt století. Když jsme spolu poprvé lámali chléb, zlolajné jazyky tvrdily, že by udělal líp, kdyby mě okradl, podřízl mi krk a mé tělo hodil do dutého stromu - protože jinak prý určitě vyprovokuji někoho, aby to samé udělal nám oběma. Z těchto jedinců mluvila čirá závist, neboť Geralt je můj nejbližší přítel, což je skutečnost, kterou nade vši pochybnost dokázal při mnoha příležitostech.<br><br>Mohl bych prozradit mnoho o tomto světoznámém lovci příšer, známého ve Starší řeči jako Gwynbleidd či v našem mladším (ačkoliv nikterak méně ušlechtilém) jazyku Bílý vlk. Geralt z Rivie je skutečně výjimečným jedincem. Na základě krátkého setkání by jej někdo mohl označit za pouhého šermíře, prostého lapače monster, drsného rváče a provozovatele špinavého řemesla - ale na druhý pohled brzy uvidíte, že se jedná o muže netušených hlubin, jedinečných názorů a obrovské zkušenosti z celého světa.<br><br>Na povrchu je uzavřený, mlčenlivý, jeden by snad mohl říct i nabručený, ale uvnitř se nachází širé moře dobrosrdečnosti, smyslu pro humor a upřímné ochoty pomáhat svým přátelům, ať už dobrou radou, či mistrovským zacházením svého meče. Je to muž drsného a občas i otrhaného vzhledu a způsobů, který se nicméně těší velké oblibě ze strany něžného pohlaví. Je to zkrátka chodící protimluv.<br><br>Bez těžkopádné falešné skromnosti můžu prohlásit, že jeho příběh znám lépe než jakýkoliv žijící člověk. Zažil jsem s ním těžké časy i dobré okamžiky, pomáhal mu moudrými radami, vřelými slovy a svým ostrovtipem. Kvůli tomu jsem klíčovou součástí jeho příběhu, a to jak předchozích částí, tak i této. Je tedy mou povinností v této kronice pokračovat a pro užitek budoucích pokolení zaznamenat další kapitolu jeho skutků a výprav.<br>
   1061815|afdf31a3||Perly Severu - Novigrad
   1062454|00000000||Poté Lethovi nezbývalo nic jiného než se vytratit. Geralt mu navrhl, aby se na chvíli ukryl na Kaer Morhen, a Letho po krátkém zvážení souhlasil.<br>
   1062453|00000000||Poté Lethovi nezbývalo nic jiného než se vytratit. Krátce se s Geraltem rozloučil a pak se opět rozešli každý po svém.<br>
   1062509|1633bfa5||Filippa Eilhart, čarodějnice a nekromantka, byla prohlášena veřejným nepřítelem.<br>Veškeré zprávy vedoucí k jejímu dopadení, budou odměněny.
   1061984|9ee17bbd||Lidé ke svému životu potřebují tři věci - jídlo, pití a drby. Není tedy žádný div, že ať už mě cesta zavede kamkoliv, ať už na ledem pokrytý Poviss, či věčně zelený Toussaint, každý se mě vždy táže na vášnivé pouto mezi Geraltem a čarodějkou Yennefer z Vengerbergu. Coby muž obezřetné a diskrétní povahy jejich tajemství prozradit odmítám - až na jednu důležitou výjimku. Historie jejich prvního setkání je tak mimořádná, tak romantická a dojemná, že nechávat si ji pro sebe by byl hotový zločin. Popravdě, kdybych nebyl očitým svědkem těchto událostí, nikdy bych nevěřil, že by náš pochmurný a temný svět mohl hostit takový úžasný div. <br><br>Vše začalo, když jsme s Geraltem byli trochu hladoví, neb nás ani v nejmenším netížily nadité měšce, a rozhodli jsme se ulovit večeři v nedalekém jezeře. Nakonec nám nebylo dopřáno ani sousta, ale s prázdnou jsme přeci neodešli - na mém háčku se zachytila překrásná nádoba. Nedbaje varování svého přítele, otevřel jsem ji - a tak jsem osvobodil mocného džina. <br><br>Bez zdlouhavého rozmýšlení jsem se jal říkat svá přání. Než jsem se ale dostal ke třetímu, džin - jehož jak mi zpětně dochází, rozzuřilo, že byl zasypán požadavky tak brzy po probuzení - mě začal rdousit. Geraltovi se jej podařilo zahnat, ale já byl zanechán v zuboženém stavu. Jednal jsem, jak mi zaklínač později sdělil, jakoby pod vlivem jakési kletby. Očividně bylo zapotřebí pomoci nějakého odborníka zběhlého v magickém učení.<br><br>K našemu velkému štěstí v nedaleké vesnici náhodou pobývala Yennefer z Vengerbergu. Geralt se za ní vydal, aby zajistil léčení pro svého nejlepšího přítele a nejzářivější hvězdu na severním básnickém nebi. Yennefer však víc než oběť zaujal onen džin (kterého chtěla lapit do magické služby) a musím říct, že zaklínače ovládala jako dřevěnou loutku. Leč, než aby se rozzuřil, že byl tak vypočítavě využit, zamiloval se do ní od své bílé hlavy až po zablácené špičky bot.<br><br>Co se stalo pak... inu, nebudu zabíhat do přílišných podrobností. Postačí, když povím, že džin nebyl z Yennefeřiných plánů nadšen a bez jeho spolupráce se jí ho zkrotit nepodařilo. Čarodějku by jistojistě potkal tragický konec - a celé Rinde by byla vzala s sebou - kdyby se Geralt nevrhl na její záchranu. Pro jednou nepotřeboval tasit ani jeden ze svých mečů: aby džina poslal zpět, odkud přišel, stačilo mu vyslovit třetí a poslední přání. Mohl si přát vše: bohatství, slávu, moc... ale místo toho džina požádal, aby jeho osud svázal s domýšlivou, leč úchvatnou čarodějkou z Vengerbergu. <br><br>Julian Alfred Pankratz, vikomt Lettenhove, narozen 1232. Cenami ověnčený básník, dramatik a trubadúr. Častý účinkující na dvorech Nedamira, Vizimira, Venzlava a mnoha dalších šlechticů a významných osob. Absolvent Oxenfurtské akademie.
   1062170|00000000||Postarej se o to, co švagr překupníka s falešnými propustkami potřebuje.
   1063514|4200e333||Drahá matko, <br>tohle je možná můj poslední dopis. Píšu s hlavou skloněnou, neboť jsem naší rodině způsobil velkou ostudu. Zklamal jsem své bratry ve zbrani. Když nastala hodina pravdy, odvaha mne zradila. Nežádám o odpuštění, protože si žádné nezasloužím. Prosím jen o to, aby ses za mne modlila. <br>Kéž ti slouží zdraví, <br>H.
   1063344|00000000||Najdi psí lůj.
   1063343|00000000||Najdi vlčí játra.
