;meta[language=de]
; id      |key(hex)|key(str)| text
   1050687|00000000||Das hässliche Entlein
   1064031|3a84c32a||Verlängerte Wirkdauer. Gifte heilen, anstatt Schaden zu bewirken.
   1063965|fc921527||Wirkt einen temporären Effekt, der die Intensität eines zufällig ausgewählten Zeichens in Abend- und Morgendämmerung erhöht. Hält länger als andere Mutagen-Absude.
   1063956|fc921508||Begrenzt die Wirkdauer von Niederschlag, Hypnose, Betäubung und Blindheit erheblich.
   1063947|e71d7c8e||Starke Schläge verbrauchen sämtliche vorhandene Ausdauer und verringern nach der Berechnung des normalen Schadens die Vitalität des getroffenen Gegners um 10 %.
   1071257|73e75aa8||Effektiv gegen Humanoide und Bestien.
   1069036|0b5e880d||Penetranz und Passion: Ein Leben für die Tyromantie
   1078101|00000000||Finde die Truhe der Grabräuber.
   1078673|128d0c93||Du möchtest die Reise durch die Welt genießen
   1078675|44a553fc||Du bist ein erfahrener, anspruchsvoller Spieler
   1078674|1ce20a9e||Du schätzt eine kleine Herausforderung
   1078833|00000000||Schatzsuche: Schemas zur Verbesserung der Bärenschulenausrüstung - Teil 1
   1078835|00000000||Schatzsuche: Schemas zur Verbesserung der Bärenschulenausrüstung - Teil 3
   1078834|00000000||Schatzsuche: Schemas zur Verbesserung der Bärenschulenausrüstung - Teil 2
   1078836|00000000||Schatzsuche: Schemas zur Verbesserung der Bärenschulenausrüstung - Teil 4
   1079983|1e6ce664||In der Nähe des Dorfs Kleinweg
   1073410|00000000||Führe einen schnellen Angriff gegen Vesemir aus, indem du <<AttackWithAlternateLight>> drückst.
   1073412|00000000||Führe einen starken Angriff gegen Vesemir aus, indem du <<PCAlternate>> gedrückt hältst und dann <<AttackWithAlternateLight_mod>>drückst.
   1073388|00000000||Dialog - Optionen
   1075376|00000000||Halte <<PCAlternate>> und drücke <<AttackWithAlternateLight_mod>>, um einen starken Angriff auszuführen.<br><br>Starke Angriffe sind langsamer als schnelle, fügen zähen Gegnern aber mehr Schaden zu.<br><br>Schwache Gegner können starke Angriffe nicht parieren.
   1075370|00000000||Drücke <<AttackWithAlternateLight>>, um einen schnellen Angriff auszuführen.
   1075983|00000000||Drücke <<SpawnHorse>>, damit dein Pferd zu dir kommt.
   1076217|446948e8||Entfernen
   1076214|9dae9bd8||Eingabe
   1076194|91252f37||Ruft einen Feuerball herab, der ein bestimmtes Gebiet einebnet.
   1076197|db9330e8||Strg rechts
   1076122|00000000||Verwende <font color="#CD7D03">Schleifsteine</font><<ICO_RepairWeapons>>, um deine Waffe vorübergehend aufzuwerten.<br><br>Verwende <font color="#CD7D03">Rüstungsschmiedetische</font><<ICO_RepairArmor>>, um deine Rüstung vorübergehend aufzuwerten.<br><br>Aufgewertete Gegenstände erhalten einen <font color="#CD7D03">Bonus auf ihren Schadens- oder Verteidigungswert</font>. Dieser Bonus verliert sich nach einiger Zeit, du kannst ihn aber mit der erneuten Benutzung eines Schleifsteins oder Rüstungsschmiedetischs erneuern.
   1076145|00000000||Drücke <<EnterBoat>>, um das Steuer eines Bootes zu übernehmen.
   1075722|00000000||Drücke <<CastSign>>, um ein Zeichen zu wirken.<br><br>Zeichen und bestimmte andere Aktionen verbrauchen Ausdauer. Bevor du erneut ein Zeichen wirken kannst, musst du warten, bis deine Ausdauer sich regeneriert hat.<br>Zum Auswählen eines Zeichens kannst du die Tastaturkürzel <<SelectAard>> - <<SelectAxii>> benutzen.
   1075726|00000000||Drücke <<ThrowItem>>, um mit der Armbrust zu schießen. Du kannst auch sorgfältiger zielen, indem du <<ThrowItem>> zum Zielen gedrückt hältst und dann zum Schießen loslässt.<br><br>Im Inventar kannst du auswählen, welche Bolzen du für die Armbrust verwenden willst. Manche Bolzen besitzen Spezialfähigkeiten. Armbrüste sind in manchen Situationen als taktische Waffe nützlich. Sie bewirken weniger Schaden als Schwerter und Zeichen.
   1076545|00000000||Wähle eine Fertigkeit zum Entwickeln aus und klicke mit <<IK_RightMouse>> darauf.
   1076503|00000000||Wähle mit <<Mouse>> ein Reiseziel aus und doppelklicke dann, um dorthin zu reisen.
   1076492|b4c7ffbc||Moribundia: Das letzte Ebenbild des Vampirs
   1076495|b4c7ffbd||Tyromantie oder die vornehme Art der Wahrsagung mithilfe von Käse
   1076657|00000000||Wähle das <font color="#CD7D03">Igni-Zeichen</font> mit <<Mouse>> aus und aktiviere es mit <<IK_LeftMouse>>.
   1076659|00000000||Wähle das <font color="#CD7D03">Yrden-Zeichen</font> mit <<Mouse>> aus und aktiviere es mit <<IK_LeftMouse>>.
   1076655|00000000||Wähle das <font color="#CD7D03">Axii-Zeichen</font> mit <<Mouse>> aus und aktiviere es mit <<IK_LeftMouse>>.
   1076241|54561b6c||Maus 4
   1076233|2ee0a1b4||/ (Ziffernblock)
   1076232|a7b9fc6a||Komma (Ziffernblock)
   1076235|86435a35||Rollen
   1076229|751eaa83||+ (Ziffernblock)
   1076228|7520233b||* (Ziffernblock)
   1076231|2e8ae8a7||- (Ziffernblock)
   1076257|00000000||Drücke <<ThrowItem>>, um einen Feuerball herbeizurufen. Er wird deine aktuelle Position treffen.
