;meta[language=en]
; id      |key(hex)|key(str)| text
   1053375|57a11068||Once part of Redania, Novigrad now has the status of a free city. It is the world's largest city and, without a doubt, the richest as well. Cradle of the cult of the Eternal Fire, it is now home to the church of the same name. It is ruled officially by the head of the church, referred to as the hierarch, though its underworld crime bosses also have a great deal of say in matters.
   1053347|f658b69b||Once upon a time Oxenfurt was a renowned university center, a capital of learning and liberty. The outbreak of war brought Redanian troops to the city, King Radovid at their head. The university dorrs were shut and locked, the students were driven out, and the entire town began to feel like an extension of the infamous prison located within its walls.
   1055973|f853c9c4||Nilfgaardian Army Group 'Center' Camp
   1055800|8964b984||To: His Imperial Majesty Emhyr var Emreis, Emperor of Nilfgaard<br><br>Since the time of my last report, remarkably swift progress has been made and sentiment in the city has crystallized. If anyone previously believed the ongoing war did not concern the free city, not a single resident now doubts the further course of the conflict will be determined within its walls. Our agents have confirmed earlier reports contending that King Radovid has important plans for Novigrad, and lately we have observed an increase in his agents' activity as well as the spread of his propaganda. His prime objective seems to be seizure of the wealth held by the Church of the Eternal Fire. Yet though Hierarch Hemmelfart officially rules the city, true power is in the hands of local crime lords. I recommend the emperor's agents focus further activity in that direction.<br><br>Henry var Attre<br><br>by decree of His Imperial Majesty<br><br>Ambassador of the Empire of Nilfgaard in the Free City of Novigrad
   1055389|a1e5490f||The Opposition in Nilfgaard
   1049221|00000000||Those who stray off the beaten tracks in the bogs of Velen rarely live to amend their error. Even the Nilfgaardian soldiers stationed at the Army Group 'Center' camp would at times disappear in the marshes without a trace. After yet another patrol failed to return, the quartermaster of the camp posted a call for some brave soul to search them out and bring them back, or, barring that, at least determine their fate.<br>
   1050852|00000000||When Geralt entered the Novigrad bathhouse, he happened to walk in on a meeting of the heads of the city's criminal underworld. Becoming an unwitting participant in their conversation, he learned of the conflict between the triumvirate made up of the King of Beggars, Sigi Reuven and Carlo "Cleaver" Varese on the one hand, and Whoreson Junior and the unknown powers backing him on the other. Cleaver in particular wanted Whoreson gone and offered Geralt help in finding and gettin to the bastard, which suited Geralt's interests. They say hands aplenty make for light work, and Geralt had every reason to believe this applied to gang warfare as much as it did to cleaning a barn, so he graciously accepted the gangster's offer.<br>
   1062565|797d3ba2||Announcement:<br><br>Soldiers in the service of His Imperial Majesty Emhyr var Emreis went missing while performing their duties. A reward shall be paid to anyone who assists in finding them. For more information see the quartermaster at the Army Group 'Center' camp.
   1062440|00000000||In times of war one often encounters those who have suffered cruelly at the hands of fate. Geralt was thus not shocked to meet the woman who the children in the Velen swamps called Gran, though she seemed to have suffered manifold unspecified ills.<br><br>Whatever her woes, it was clear she cared for the war orphans in her charge with love and devotion.<br>
   1062446|00000000||When Geralt saw the marks on the woman’s hands, he quickly realized she must be the Bloody Baron’s wife, though changed beyond all recognition by the hardship she had suffered.<br>
   1062444|00000000||Gran bore strange marks on her hands that burned with living fire. In time they proved to be signs of her indentured servitude to the Crones. How exactly the old woman had come to be in their power, however, remained unknown.<br>
   1062505|00000000||The circumstances of Geralt’s initial reunion with Yennefer after two years were quite different than he had imagined. The sorceress was not only safe and sound, but had even secured the aid of an unexpected and mighty ally - the Nilfgaardian Empire.<br>
   1061890|017d89e5||Report no. 1527<br>Agent DQ4<br><br>Who is Who in the Novigrad Underworld<br>Order reigns in the city’s criminal underworld and has for some time. One suspects no unauthorized thievery, banditry or hucksterism of any sort takes place here. Perhaps this is a testament to the City Council’s effective reinvigoration of the Temple Guard, but it is my opinion that the true cause lies in the rise of organized crime groups. Our agents’ mission is to identify their leader (or leaders) and bring about their collapse from the inside.<br>Tasks:<br>Investigate gambling dens.<br>Inspect houses of ill repute.<br>Infiltrate shopkeepers’ circles and determine if they are paying protection or tribute.<br>Interrogate apprehended criminals and determine in whose employ they remain.<br>Additional remarks:<br>Agent "Gisel" has observed certain individuals convening for mysterious meetings at the city bathhouse from time to time. The building is closed to the citizenry of Novigrad during said assemblies.
