;meta[language=es]
; id      |key(hex)|key(str)| text
   1078836|00000000||Búsqueda del tesoro: diagramas de mejora de equipo de la escuela del Oso - Parte 4
   1078834|00000000||Búsqueda del tesoro: diagramas de mejora de equipo de la escuela del Oso - Parte 2
   1078835|00000000||Búsqueda del tesoro: diagramas de mejora de equipo de la escuela del Oso - Parte 3
   1078833|00000000||Búsqueda del tesoro: diagramas de mejora de equipo de la escuela del Oso - Parte 1
   1078101|00000000||Encuentra el cofre de los saqueadores de tumbas.
   1077859|00000000||Portales
   1077846|00000000||Portales
   1078009|dfefb296||Llave del escondite del katakan.
   1080584|55eb2850||Queridos amigos:<br>A falta de algo mejor, les doy a mis hijos tortitas hechas de bellotas del suelo. Llevan tres días sin poderse levantar, las tripas les rugen de forma horrible, están enfermos y no dejan de llorar. Si podéis ayudarnos, venid a nuestra cabaña. No podré daros nada a cambio, salvo unas palabras de agradecimiento y una plegaria.<br>-Vissy
   1080784|713d42a6||Queridos clientes:<br>La guerra trae consecuencias nefastas. Durante casi dos décadas he estado importando las mejores mercancías nilfgaardianas y os las he vendido a precios fantásticos. Tanto que, a veces, juro que ni siquiera sacaba ningún beneficio. Por desgracia, el conflicto resurgido entre nuestras naciones ha provocado que me sea imposible seguir adelante con este negocio. Este año no asistiré a la feria de Belleteyn, por lo que no podréis disfrutar del encaje de Angren, el terciopelo de Nazair o del famoso limón de Ebbing que tanto os gusta. Perdonadme, buenas gentes, y bebed a mi salud.<br>-Declan Leuvaarden
   1073412|00000000||Lanza un ataque potente contra Vesemir manteniendo <<PCAlternate>> y pulsando <<AttackWithAlternateLight_mod>>
   1073410|00000000||Lanza un ataque rápido contra Vesemir pulsando <<AttackWithAlternateLight>>.
   1073388|00000000||Diálogo - Opciones
   1076545|00000000||Elige una habilidad y haz clic en ella con <<IK_RightMouse>> para desarrollarla.
   1076495|b4c7ffbd||Tiromancia, o el noble arte de la adivinación con queso
   1076492|b4c7ffbc||Moribundia: la imagen final del vampiro
   1076503|00000000||Usa <<Mouse>> para seleccionar el destino y haz doble clic para ir allí.
   1076655|00000000||Elige la <font color="#CD7D03">Señal de Axia</font> con <<Mouse>> y pulsa <<IK_LeftMouse>> para activarla.
   1076659|00000000||Elige la <font color="#CD7D03">Señal de Yrden</font> con <<Mouse>> y pulsa <<IK_LeftMouse>> para activarla.
   1076657|00000000||Elige la <font color="#CD7D03">Señal de Igni</font> con <<Mouse>> y pulsa <<IK_LeftMouse>> para activarla.
   1076256|00000000||Bolas de fuego
   1076257|00000000||Pulsa <<ThrowItem>> para invocar una bola de fuego que impactará en tu posición actual.
   1076270|00000000||¡Retrocede o la bola de fuego caerá sobre ti!
   1076231|2e8ae8a7||Resta (tecl num)
   1076228|7520233b||Multiplicación (tecl num)
   1076229|751eaa83||Suma (tecl num)
   1076226|751e7eee||8 (tecl num)
   1076227|751e7eef||9 (tecl num)
   1076224|751e7eec||6 (tecl num)
   1076225|751e7eed||7 (tecl num)
   1076238|aa153b6e||Ctrl izq
   1076237|5d10a68d||Mayús derecha
   1076235|86435a35||Bloq Despl
   1076232|a7b9fc6a||Decimal (tecl num)
   1076233|2ee0a1b4||División (tecl num)
   1076244|54561b6f||Botón 7 del ratón
   1076245|54561b70||Botón 8 del ratón
   1076242|54561b6d||Botón 5 del ratón
   1076243|54561b6e||Botón 6 del ratón
   1076241|54561b6c||Botón 4 del ratón
   1076392|00000000||Para esquivar, elige una dirección con <<GI_AxisLeftY>> <<GI_AxisLeftY,1>> <<GI_AxisLeftX,1>> o <<GI_AxisLeftX>> y pulsa <<Dodge>>.
   1076381|00000000||Aquí se muestran todas las misiones que has aceptado.<br><br>Para ver más información sobre una misión, haz clic en ella.
