;meta[language=cleartext]
; id      |key(hex)|key(str)| text
    458125|fa6076ab||Herborista
    530186|27bce67d||Amuleto Mágico
    543165|72eeb4b2||Herborista
    559054|00000000||Mata a las criaturas que salen del portal.
    592263|00000000||Encuentra el lugar en el que el monstruo salió del agua con tus sentidos de brujo.
   1009397|548e00c0||Holofernes Meiersdorf
   1047249|baa6fb37||Jesse
   1049943|60ea26e0||Espada de acero. Para luchar contra humanoides y bestias comunes.
   1054120|00000000||Mata a las criaturas que salen del portal.
   1054121|00000000||Mata a las criaturas que salen del portal.
   1054778|5be69a85||Guerrillero temerio
   1059579|f4e4f8a2||Perro guardián
   1063947|e71d7c8e||Si hay vigor disponible, los ataques potentes lo consumirán todo y reducirán la vitalidad del enemigo golpeado en un 10% luego de que se haya calculado su daño normal.
   1063956|fc921508||Limita notablemente la duración de los efectos de derribo, hipnosis, aturdimiento y ceguera.
   1063965|fc921527||Aplica un potenciador que incrementa la intensidad de una Señal seleccionada de forma aleatoria al amanecer y al anochecer. Dura más que otros extractos mutágenos.
   1064031|3a84c32a||Duración ampliada. En lugar de dañar, los venenos curan.
   1065950|50b40d78||Misiones
   1069036|0b5e880d||Pasión hedionda: la vida de un tiromántico
   1071257|73e75aa8||Eficaz contra humanoides y bestias.
   1073388|00000000||Diálogo: Opciones
   1073410|00000000||Lanza un ataque rápido contra Vesemir pulsando <<AttackWithAlternateLight>>.
   1073412|00000000||Lanza un ataque potente contra Vesemir manteniendo presionado <<PCAlternate>> y presionando <<AttackWithAlternateLight_mod>>
   1075370|00000000||Para lanzar un ataque rápido, pulsa <<AttackWithAlternateLight>>.
   1075376|00000000||Para montar un ataque potente, mantén pulsado <<PCAlternate>> y pulsa <<AttackWithAlternateLight_mod>><br><br>Los ataques potentes son más lentos que los ataques rápidos.<br><br>Los oponentes débiles no pueden rechazar los ataques potentes.
   1075380|00000000||Pulsa <<RadialMenu>> para abrir el <font color="#CD7D03">menú de acceso rápido</font>.<br><br>En él podrás activar Señales, armas a distancia, objetos especiales y bombas.<br><br>El <font color="#CD7D03">menú de acceso rápido</font> también muestra todos los efectos temporales que afectan a tu personaje.
   1075722|00000000||Para lanzar una Señal, presiona <<CastSign>><br><br>Las Señales y algunas otras acciones consumen vigor. Antes de que puedas volver a lanzar una Señal, tendrás que esperar a que tu vigor se regenere.<br>Puedes elegir una Señal con los atajos del teclado <<SelectAard>> - <<SelectAxii>>
   1075726|00000000||Pulsa <<ThrowItem>> para soltar un virote con tu ballesta. Puedes apuntar con más precisión si mantienes presionado <<ThrowItem>> y luego sueltas <<ThrowItem>>.<br><br>En el inventario, puedes elegir qué virote quieres usar con tu ballesta. Algunos de ellos tienen habilidades especiales. La ballesta es un arma táctica útil en ciertas situaciones, y no inflige tanto daño como las espadas o las Señales.
   1075893|d7dd1caa||Patrulla desaparecida: recompensa
   1075983|00000000||Para llamar a tu caballo, presiona <<SpawnHorse>>
   1076122|00000000||Usa <font color="#CD7D03">piedras de afilar</font> <<ICO_RepairWeapons>> para añadir mejoras temporales a las armas.<br><br>Usa <font color="#CD7D03">mesas de armero</font> <<ICO_RepairArmor>> para añadir mejoras temporales a la armadura.<br><br>Los objetos mejorados reciben una <font color="#CD7D03">bonificación a la defensa o al daño que causan</font>. Puedes renovar esta bonificación si se vuelve a usar una piedra de afilar o una mesa de armero.
   1076194|91252f37||Hace descender una bola de fuego que pulveriza una zona concreta.
   1076197|db9330e8||Control derecho
   1076202|97b25229||Espacio
   1076203|58a8cca7||Re Pág
   1076205|d1a08fae||Av Pág
   1076214|9dae9bd8||Intro
   1076215|c270745c||Impr pant
   1076218|751e7ee6||0 (teclado numérico)
   1076219|751e7ee7||1 (teclado numérico)
   1076220|751e7ee8||2 (teclado numérico)
   1076221|751e7ee9||3 (teclado numérico)
   1076222|751e7eea||4 (teclado numérico)
   1076223|751e7eeb||5 (teclado numérico)
   1076224|751e7eec||6 (teclado numérico)
   1076225|751e7eed||7 (teclado numérico)
   1076226|751e7eee||8 (teclado numérico)
   1076227|751e7eef||9 (teclado numérico)
   1076228|7520233b||Multiplicación (teclado numérico)
   1076229|751eaa83||Suma (teclado numérico)
   1076231|2e8ae8a7||Resta (teclado numérico)
   1076232|a7b9fc6a||Decimal (teclado numérico)
   1076233|2ee0a1b4||División (teclado numérico)
   1076235|86435a35||Bloq Despl
   1076237|5d10a68d||Mayús derecha
   1076238|aa153b6e||Ctrl izq
   1076241|54561b6c||Mouse 4
   1076257|00000000||Pulsa <<ThrowItem>> para hacer descender una bola de fuego que impactará en tu posición actual.
   1076377|b4c7ffbe||Las alegres aventuras de Muriel, la adorable meretriz, adornadas con grabados humorísticos
   1076379|b4c7ffbf||Estudio del tratamiento de forúnculos mediante la cauterización
   1076381|00000000||Aquí encontrarás información sobre todas tus misiones.<br><br>Para ver más información sobre una misión, haz clic en ella.
   1076392|00000000||Para esquivar, elige una dirección con <<GI_AxisLeftY>> <<GI_AxisLeftY,1>> <<GI_AxisLeftX,1>> o <<GI_AxisLeftX>> y pulsa <<Dodge>>.
   1076492|b4c7ffbc||Moribundia: la imagen final del vampiro
   1076495|b4c7ffbd||Tiromancia, o el noble arte de la adivinación con queso
   1076503|00000000||Usa <<Mouse>> para elegir un destino y luego haz doble clic para viajar allí.
   1076545|00000000||Elige una habilidad y haz clic en ella usando <<IK_RightMouse>> para desarrollarla.
   1076655|00000000||Elige la <font color="#CD7D03">Señal de Axia</font> con <<Mouse>> y pulsa <<IK_LeftMouse>> para activarla.
   1076657|00000000||Elige la <font color="#CD7D03">Señal de Igni</font> con <<Mouse>> y pulsa <<IK_LeftMouse>> para activarla.
   1076659|00000000||Elige la <font color="#CD7D03">Señal de Yrden</font> con <<Mouse>> y pulsa <<IK_LeftMouse>> para activarla.
   1076767|00000000||Pulsa <<AttackWithAlternateLight>> para provocar a un enemigo y hacer que te ataque.
