;meta[language=fr]
; id      |key(hex)|key(str)| text
   1056104|00000000||La piste de Ciri conduisit Geralt et Yennefer à un jardin abandonné de Skellige où ils espéraient trouver un certain Veule, seul individu apte à répondre aux questions qui leur brûlaient les lèvres. Hélas, ils furent accueillis par un individu très différent : un monstre dénommé Morkvarg. Une fois encore, Geralt semblait promis à ensanglanter son épée en argent.
   1053625|00000000||Lambert et Geralt finirent par dénicher ce Jad Karadine. L'homme vivait dans l'opulence et aurait pu se fondre à merveille dans la haute société de Novigrad s'il n'avait été un sorceleur de l'École du Chat. Étonnamment, Karadine les accueillit dans sa demeure et leur présenta sa femme, Laetitia, ainsi que leurs deux enfants adoptifs. Au fil de la conversation, Karadine tenta l'impossible : persuader deux assassins de métier de le laisser vivre. Il eut beau clamer qu'il était un homme neuf, qu'il avait renoncé à tuer, ce repentir tardif ne l'empêcha pas de payer ses crimes passés de son sang.
   1053412|00000000||Le vieux sorceleur raconta à Geralt la façon dont Berengar avait tenté de forger une épée en argent aux propriétés extraordinaires. Hélas, toutes ses tentatives avaient échoué et le schéma s'était perdu alors qu'il voyageait en aval afin d'occire un tschart. Geralt termina ce que Berengar avait commencé : il suivit le même itinéraire, tua le monstre et récupéra le schéma de Tor'haerne.
   1053415|00000000||En suivant les instructions de la note, Geralt tomba sur une ancienne mine de fer. Après avoir disposé de l'élémentaire de terre gardien, il découvrit que le tome était la clef d'un passage conduisant à une forge abandonnée. À sa grande surprise, la forge se mit alors à lui parler. À ce stade, on pourrait être porté à croire que le sorceleur avait respiré trop d'air vicié dans la galerie, mais la forge affirma qu'un ifrit, sorte d'élémentaire du feu, avait naguère permis à un mage de créer du matériel spécial pour les sorceleurs de l'École du Loup. Ledit élémentaire étant resté vigilant bien des années après la mort du mage, Geralt se vit contraint d'en venir à bout pour accéder à la réserve de matériel de premier choix cachée derrière la forge.
   1053410|00000000||Au vu des indices présents dans la forteresse, Geralt déduisit qu'elle était hantée par le fantôme d'un garçon naguère voué à devenir sorceleur. Sa carrière de tueur de monstres avait connu une fin aussi tragique que prématurée quand des fanatiques enragés avaient donné l'assaut sur Kaer Morhen. Geralt trouva la dépouille du malheureux garçon qu'il inhuma avec deux épées, l'une en argent, l'autre en acier. Il espéra qu'ainsi, l'âme torturée du pauvre gosse trouverait la paix.
   1053399|00000000||Alors qu'il arpentait la rive d'un lac près de Kaer Morhen, Geralt tomba sur le corps d'un noyeur. D'emblée, le sorceleur crut à une victime de Lambert ou d'Eskel mais, en y regardant de plus près, il découvrit que le monstre ne portait aucune trace d'épée ou de signe. D'évidence, quelqu'un ou quelque chose d'autre avait réglé son compte au noyeur. Peu confiant dans la maxime qui prétend que les ennemis de mes ennemis sont mes amis, Geralt voulut savoir qui était cet "ami" tueur de noyeurs.
   1054688|b88dfe72||Arbalète de l'École de l'Ours
   1050684|00000000||L'épreuve finale
   1050788|7656b05b||Pantalon de l'École du Loup
   1050786|cc58ccef||Gantelets de l'École du Loup
   1050793|21274dcf||Bottes de l'École du Loup
   1051253|00000000||Geralt convainquit le sylvain qu'en temps de disette, exiger des offrandes somptueuses était immoral et malvenu, même de la part d'un faux dieu. D'emblée sceptique, le sylvain finit par se rendre aux arguments du sorceleur en voyant luire son épée en argent.
