;meta[language=it]
; id      |key(hex)|key(str)| text
   1071181|00000000||Nei pressi del porto di Novigrad il witcher si imbatté nel suo vecchio fratello d'armi, Lambert. La sorpresa di Geralt non fece che crescere quando scoprì che l'ekimmuh cacciatao da entrambi non era il motivo principale della visita di Lambert in città. Ma prima di potersi sedere a fare quattro chiacchiere, i due witcher dovevano occuparsi del loro disonesto cliente... Quante volte gli uomini cercheranno di privare i witcher della paga di un onesto lavoro prima d'imparare la lezione?<br>Risolto il problema, Geralt poteva finalmente parlare con Lambert. Si scoprì che questi stava cercando le persone responsabili della morte del suo amico Aiden, un witcher della Scuola del Gatto. Lambert aveva saputo che Aiden era stato assassinato da una banda di sgherri guidata da un uomo di nome Jad Karadin. Geralt decise di aiutare Lambert, e i due partirono in cerca di vendetta.<br>
   1071257|73e75aa8||Efficace contro gli umani, gli umanoidi e le bestie.
   1071260|40854ed3||Efficace contro gli umani e gli umanoidi. I witcher non sono addestrati all'uso di quest'arma.
   1067013|15dda91d||Aumenta il bonus dei mutageni collocati negli slot del $I$%.
   1069036|0b5e880d||Una passione fragrante: una vita per la tiromanzia
   1065061|20af220c||Vampiro: ekimmuh
   1081336|00000000||I razziatori di tombe elfiche o si arricchiscono in fretta o muoiono nel tentativo. I templi e i palazzi in rovina degli Aen Seidhe celano tesori inestimabili, ma al loro interno si annidano molti mostri. Questo è ciò che accadde a Stradine, dove alcuni contadini ignari finirono con il risvegliare un pericoloso ekimmuh.<br><br>Il witcher sapeva che il mostro sarebbe stato un osso duro: l'ekimmuh si rigenera in fretta, i suoi colpi provocano copiose emorragie ed è in grado di svanire nel nulla. Tuttavia sapeva anche come ovviare a tutto questo: avrebbe dovuto ricorrere ai Segni Yrden e Quen, e poi a colpi potenti. Cercando, ovviamente, di non farsi uccidere.
   1077673|00000000||<i>Gli uomini... perlomeno quelli educati... mi definiscono un mostro. Un mostro succhiasangue.</i><br>- Emiel Regis, vampiro superiore<br><br>Soltanto la comune sete di sangue lega i vampiri superiori ai loro primitivi cugini: ekimmuh, alp, katakan e simili. In realtà, i vampiri superiori sono molto più simili agli umani rispetto a quei pipistrelloni succhiasangue. Non solo hanno un aspetto simile a noi, ma condividono la nostra intelligenza e i nostri schemi comportamentali. Ciò significa che non vivono in foreste lontane e non si nascondono nelle ombre. Al contrario, sono particolarmente affascinati dalle città, dove trascorrono vite ingannevolmente normali. Persino i witcher non sono in grado di riconoscerli subito, poiché i loro medaglioni restano inerti al cospetto dei vampiri superiori. Tuttavia, queste similitudini nascondono una differenza fondamentale: contrariamente agli uomini, i vampiri superiori sono immortali. Si può contare sulla dita di una mano chi li ha affrontati in combattimento ed è sopravvissuto.<br>
   1077672|00000000||Gli ekimmuh sono insolitamente crudeli e incredibilmente veloci. Sono in grado di sferrare rapide sequenze di colpi e di sfondare persino le migliori armature di Mahakam. Si consiglia di affrontarli con una spada d'argento, ricordando che possono rigenerarsi nel tempo. Non bisognerebbe mai cercare di sfiancarli o, che gli dèi ci salvino, aspettare che muoiano per dissanguamento. Invece, è meglio abbatterli il più velocemente possibile e bruciarne il cadavere, riducendolo in cenere da spargere ai quattro venti.
   1077305|00000000||<i>Bah, non c'è niente da temere. Gli ekimmuh... Ah, sono poco più che pipistrelli troppo cresciuti.</i><br>- Ultime parole di una guardia cittadina, nome ignoto<br><br>Come gli altri vampiri, gli ekimmuh non sono umani non morti, nonostante le chiacchiere di villaggio sostengano il contrario. Sono invece dei mostri post-Congiunzione che non provano particolare avversione verso l'aglio, l'acqua santa o i simboli religiosi.<br><br>Contrariamente alla loro descrizione nelle ballate e nelle leggende, non sono affatto gli incantevoli aristocratici pallidi con affascinante accento orientale, anche se, similmente ai katakan e ai nekurat, hanno una forte somiglianza a grossi pipistrelli. Inoltre, non succhiano il sangue dal collo delle vergini con un delicato morso simile a un bacio... Le fanno a pezzi con lunghi artigli affilati e leccano il sangue dal terreno circostante.
   1077304|00000000||Ekimmuh
   1077495|00000000||Orchi
   1078101|00000000||Trova il tesoro dei predatori di tombe.
   1077859|00000000||Portali
   1077862|00000000||Le testimonianze sembrano indicare che i ciclopi esistano da moltissimo tempo. Un esemplare ben conservato, esaminato e documentato dagli studiosi... trovato nel 1112 e portato dagli specialisti di Oxenfurt... è stato datato a oltre trecento anni fa. Recentemente, i resti di questo esemplare erano stati esposti nel museo zoologico dell'Accademia, ma sono stati rimossi quando gli studenti hanno cercato di vestire il ciclope con una toga, danneggiandolo notevolmente.<br><br>Come per i giganti, possiamo soltanto ipotizzare i punti forti e deboli dei ciclopi. La loro massa preclude ogni utilizzo del Segno Aard, mentre la loro enorme forza fisica rende particolarmente letali i loro colpi. Probabilmente, i ciclopi sono vulnerabili all'unguento anti-orchi. In quanto mostri con cervello relativamente ben sviluppato, possono essere influenzati con il Segno Axii.
   1077867|00000000||I troll sono in grado di usare il fuoco e semplici attrezzi, e alcuni di loro hanno persino appreso le basi della lingua comune. Sebbene alcune raffinatezze linguistiche (come, ad esempio, le coniugazioni e le declinazioni) gli sfuggano, sono appassionati d'indovinelli, rime e ogni genere di gioco di parole, cosa che un witcher con un po' d'ingegno può sfruttare a proprio vantaggio.<br><br>Se lo scontro dovesse rivelarsi inevitabile, bisogna fare attenzione alle pietre lanciate dai troll con grande forza e precisione sorprendente. Anche i loro potenti e pesanti pugni sono pericolosi, poiché possono ammaccare persino le armature e le corazze più resistenti. Poiché le loro schiene sono ricoperte da una corazza rocciosa, i colpi sferrati da dietro non infliggeranno grandi danni. Pertanto, vanno affrontati direttamente, faccia a faccia... e preferibilmente armati di una spada ricoperta da unguento anti-orchi.
   1077846|00000000||Portali
   1078009|dfefb296||Chiave del nascondiglio del katakan.
