;meta[language=ru]
; id      |key(hex)|key(str)| text
   1073412|00000000||Чтобы провести мощную атаку на Весемира, зажмите <<PCAlternate>> и нажмите <<AttackWithAlternateLight_mod>>.
   1073410|00000000||Чтобы провести быструю атаку на Весемира, нажмите <<AttackWithAlternateLight>>.
   1073388|00000000||Диалоги - Настройки
   1076197|db9330e8||Правый Ctrl
   1076122|00000000||<font color="#CD7D03">Точило</font><<ICO_RepairWeapons>> позволяет на время улучшить оружие. <br><br> <font color="#CD7D03">Верстак</font><<ICO_RepairArmor>> временно улучшает доспехи.<br><br>Улучшенные предметы получают <font color="#CD7D03">бонус к защите или наносимому урону</font>. По мере использования предмета этот бонус уменьшается и исчезает, но можно восстановить его, снова использовав точило или верстак.
   1075726|00000000||Нажмите <<ThrowItem>>, чтобы выстрелить из арбалета. Чтобы прицелиться точнее, зажмите <<ThrowItem>> и наведитесь на цель. Затем отпустите <<ThrowItem>>, чтобы выстрелить.<br><br>В окне рюкзака можно выбрать болты для арбалета. У некоторых болтов есть особые свойства. Арбалет - тактическое оружие, полезное в определенных ситуациях, но он не наносит такой урон, как мечи или Знаки.
   1075722|00000000||Чтобы наложить Знак, нажмите <<CastSign>>.<br><br>Знаки и некоторые другие действия расходуют энергию. Чтобы наложить Знак еще раз, придется подождать, пока энергия не восстановится.<br>Для выбора знака можно использовать быстрые клавиши <<SelectAard>> - <<SelectAxii>>.
   1075370|00000000||Для проведения быстрой атаки нажмите <<AttackWithAlternateLight>>.
   1075376|00000000||Чтобы провести мощную атаку, зажмите <<PCAlternate>> и щелкните <<AttackWithAlternateLight_mod>><br><br>Мощные атаки медленнее быстрых атак, но наносят больше урона сильным соперникам.<br><br>Слабые противники не могут парировать мощные атаки.
   1076767|00000000||Нажмите <<AttackWithAlternateLight>>, чтобы спровоцировать врага на нападение.
   1076769|00000000||Зажмите <<PCAlternate>> и <<AttackWithAlternateLight_mod>> для рывка.<br><br>Чем дольше зажаты кнопки, тем больше радиус действия атаки.
   1076984|dfefb296||Ключ от логова катакана
   1076545|00000000||Выберите умение, которое хотите развить, и щелкните <<IK_RightMouse>> по нему.
   1076495|b4c7ffbd||Тиромантия
   1076492|b4c7ffbc||Морибунда. Последнее обличье вампира
   1076655|00000000||С помощью <<Mouse>> выберите <font color="#CD7D03">Знак Аксий</font> и нажмите <<IK_LeftMouse>>, чтобы подтвердить выбор.
   1076659|00000000||С помощью <<Mouse>> выберите <font color="#CD7D03">Знак Ирден</font> и нажмите <<IK_LeftMouse>>, чтобы подтвердить выбор.
   1076657|00000000||С помощью <<Mouse>> выберите <font color="#CD7D03">Знак Игни</font> и нажмите <<IK_LeftMouse>>, чтобы подтвердить выбор.
   1076231|2e8ae8a7||- (на циф. кл.)
   1076229|751eaa83||+ (на циф. кл.)
   1076232|a7b9fc6a||. (на циф. кл.)
   1076379|b4c7ffbf||Излечение чирьев прижиганием. Научные штудии
   1076377|b4c7ffbe||Веселые приключения Мюриэль, Прекрасной Мерзавки, потешными гравюрами снабженные
   1078911|00000000||Найти все чертежи снаряжения ведьмачьей Школы Змеи.
   1078836|00000000||Ведьмачьи древности: улучшения Школы Медведя IV
   1078835|00000000||Ведьмачьи древности: улучшения Школы Медведя III
   1078834|00000000||Ведьмачьи древности: улучшения Школы Медведя II
   1078833|00000000||Ведьмачьи древности: улучшения Школы Медведя I
   1066868|c5548b42||Мощь Аксия
   1069036|0b5e880d||Несколько слов о тиромантии
   1064031|3a84c32a||Действует дольше. Теперь яды лечат вместо того, чтобы наносить урон.
   1063947|e71d7c8e||Если у вас есть энергия, мощная атака израсходует ее полностью и снизит здоровье пораженного противника еще на 10% после расчета нормального урона.
   1063956|fc921508||Существенно сокращает продолжительность нокдауна, гипноза, оглушения и слепоты.
   1063965|fc921527||На рассвете и в сумерках увеличивает силу произвольного Знака. Действует дольше, нежели иные мутагенные отвары.
   1106707|f3f5fddc||Невозможно загрузить это сохранение, поскольку оно было сделано в более новой версии игры.
   1106624|eecaf062||Вырванная страница: большой синий мутаген
   1106641|5625d6ee||Игра обновлена. Пользовательские настройки сброшены.
   1106623|eadc0ffb||Вырванная страница: большой зеленый мутаген
   1106622|5a48d789||Вырванная страница: большой красный мутаген
   1106621|d820db3d||Вырванная страница: синий мутаген
   1106620|2c438080||Вырванная страница: зеленый мутаген
   1106619|d56ca54e||Вырванная страница: красный мутаген
   1106618|27743163||Большой синий мутаген
   1106617|acbde652||Большой зеленый мутаген
   1106616|121562a0||Большой красный мутаген
   1106367|46c53be2||Дальность видимости растительности
   1106118|e0ae4a1e||Глоссарий
   1106117|ab64af37||Задания
   1106120|5700d7e9||Колода для игры в гвинт
   1106069|5141493d||Скакать карьером/В галоп
   1106079|2e453c85||эликсиры и еда 1
   1106078|c3669d60||Остановиться
   1106077|dacadae9||Спешиться
   1106082|d54bee68||Обнажить серебряный меч
   1106081|0f285f10||Обнажить стальной меч
   1106080|2e453c86||эликсиры и еда 2
   1106093|8e655d51||Знаки - Ирден
   1106090|0cced3b5||Знаки - Аард
   1106098|0cd28cbc||Знаки - Игни
   1106097|0cd66330||Знаки - Квен
   1106108|0d5c0a69||Игровое меню
